frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	202.27159	692.25216	347.61934	405.14336	293.99863	295.2462	378.83761	262.18179	258.24042	404.89006	378.31441	511.8697	351.69541	370.20065	294.05897	476.10016	786.09041	435.46301	221.11502	367.8206	383.94785	388.53207	338.604	254.28668	405.66765	394.83545	485.65842	509.02804	451.18763	283.59912	269.21137	326.46095	1349.33804	290.16767	183.37441	126.71183	234.56813	231.92828	368.8952	270.58507	436.43841	331.48103	242.74989	375.11414	354.68241	312.4957	372.7053	334.87898	534.35919	435.77418	575.09999	348.89242	461.705	291.00344	566.78369	381.46542	469.33203	428.21112	460.28188	315.06507	432.53281	363.75692	422.84426	407.15618	496.79951	351.51563	553.6527	452.43185	525.54478	206.43399	666.90855	594.53553	508.77984	446.76765	476.86613	378.86211	463.85905	392.99725	361.00446	394.58272	307.23063	358.03046	613.21197	397.17176	613.09778	376.17062	477.53865	384.47427	545.59644	509.47334	479.30008	446.96045	462.08102	459.2862	437.21882	437.45443	686.23092	440.32416	490.14885	295.31068	615.27781	416.68034	463.30634	321.5088	638.38757	527.15877	276.86614	123.8339	276.98536	263.11203	363.34947	288.52338	296.98301	270.43307	243.62317	310.60479	388.04294	353.75643	322.54852	287.1598	421.61861	257.00668	412.5544	364.32064	378.78541	274.45317	394.9991	139.72656	298.25486	271.65696	185.75358	289.86908	344.61831	290.1774	315.54686	250.14843	439.42822	334.91992	490.51238	342.89424	253.59165	224.91608	257.38986	374.57681	372.39158	310.39043	259.50395	332.49947	211.16115	281.7807	336.6806	307.04271	417.71356	215.01405	398.94807	279.16594	275.85356	352.23746	311.32166	343.18341	346.2444	248.25838	292.76543	322.21171	433.07445	288.3137	342.68861	279.17539	388.33656	248.19055	431.43017	339.58596	492.53495	282.27307	199.01921	169.29179
30	60	3646.46664	4850.60294	4725.56504	5921.14341	5787.83621	5620.65265	6631.67975	4581.18782	5164.65044	4621.49325	4629.53009	5118.21546	4564.91166	6511.15848	5753.6743	4975.84544	3885.52854	4860.16826	2995.05971	4524.02314	4521.99929	5847.8687	6097.63008	5444.64433	6269.85078	4612.40998	5502.79649	5211.71573	5993.12671	4776.50995	4831.41089	4966.10121	5348.95536	3247.83312	3108.51774	2326.62024	3297.84027	3205.10754	6082.86475	5344.06997	6501.91228	5855.66671	3955.59108	5387.97031	5251.54067	5355.45319	6023.55001	4724.56621	6400.57967	6701.64563	6244.7855	5256.12312	5780.72986	5180.74951	6630.55908	5212.80482	6396.84764	7228.16419	5747.06188	6112.56357	6089.73991	6227.42586	5450.01578	6240.91998	5945.54745	5133.49323	6123.3519	6171.96754	7027.12101	4411.86965	7780.78455	6585.01003	6029.06582	6593.79067	6251.78917	6469.63083	4450.3077	5188.04337	5522.29509	5436.54365	6722.80101	5450.47144	6190.07738	6717.27024	6828.38314	5714.67658	5529.32282	6558.73926	7241.69864	6255.96886	6652.44832	7696.81063	6188.92232	7073.80267	6326.05445	6308.8276	6673.84051	6370.13154	6689.21534	4852.2395	6497.76661	5994.05845	6138.00684	5022.9115	7744.4687	5761.41147	4142.38067	2966.41828	4542.64569	4864.01403	3848.08202	3980.87804	4112.12919	4686.34412	3606.07509	4303.9148	4845.99185	5268.51004	4320.60213	4522.26878	4882.49287	3420.62206	4901.61883	5468.47677	4988.48711	4807.47943	4985.71914	3261.25159	4527.65338	4096.98056	3220.38349	4350.13259	4039.52274	4100.92592	4160.07464	4414.2754	6062.17931	4894.46531	6403.28396	4500.24164	4145.17623	3669.98483	3966.12805	5653.03646	4361.47051	4070.05768	4238.71281	4404.91222	4148.17157	4674.83975	4081.97604	5256.2138	4720.45854	4069.35676	4798.21602	4577.20305	4232.07555	4372.29919	4449.69209	5427.82843	4723.3167	4313.73021	4089.47008	4399.66159	4265.78461	4247.51555	4777.027	4090.26324	4733.49643	3872.62522	5706.39519	3872.48242	6443.109	4062.64333	2829.04311	2798.21937
60	90	7440.52697	10142.29348	10055.38467	12717.27453	12217.07741	11943.7539	14282.46369	11113.46173	10224.12691	8231.57842	9285.56251	10431.67469	9748.71042	12590.46912	10954.40411	9322.39418	7109.60231	10100.82514	6185.29295	7436.46655	9982.98203	12611.62622	13159.85881	10896.84681	13384.46688	9746.04649	9602.42793	9222.09082	10887.22301	9968.00775	11299.52897	10396.48282	6613.05526	5901.80394	7834.01508	6164.92374	6011.4646	5762.06839	12127.07685	10689.75925	14429.25915	13135.52655	9181.65426	11107.41945	11680.01785	11047.40603	13110.9796	10714.43265	13551.43537	13479.44132	11626.37142	11182.91259	11028.64355	11455.6401	13637.90736	11911.76362	13221.941	15947.26711	12710.93807	12974.21302	12996.10288	13501.45079	11662.11458	13515.27977	13189.33174	11497.75506	12292.01378	12774.71682	14538.79772	9699.78386	16128.39991	13064.29127	12022.6574	13657.64319	13718.78104	14336.02775	8982.22155	11323.16778	12276.06873	11739.84611	13450.35446	12007.23421	12901.18769	13930.85146	14675.12212	11874.86062	10513.22446	13739.60466	15029.88311	14092.62437	13749.02424	16663.35814	13024.00025	15035.47396	13325.40453	14242.84818	13703.50847	13676.51293	13829.59916	11125.65397	12973.51849	12991.84461	13157.25245	9269.6792	16176.84975	11711.46611	8967.20766	5839.42794	10079.64399	10691.92806	9220.07068	8578.59864	9232.87488	9734.14357	7865.11513	9579.31112	9934.42257	10946.29284	8428.2783	9894.98771	10488.59531	8110.44094	9835.83781	11854.82159	10538.0742	10374.40777	10804.11356	7313.23689	9654.70164	9250.97582	6763.88316	9789.80847	9406.02301	9298.34441	8481.13444	9415.91307	11780.14297	9244.68988	12908.76582	9446.04698	8004.27242	8078.4809	8769.75564	12389.5765	9626.57725	8892.10033	9647.41844	9733.97476	8488.71176	10273.66244	9044.61294	11163.43706	10447.78806	8542.76649	9593.29704	9702.79787	9530.8461	10913.92491	9534.31321	11843.35311	10360.56798	9480.01427	8864.73636	9827.41895	8463.26549	9302.08634	10320.11784	9165.22078	9847.88055	8799.50993	11708.64849	7999.13683	13487.47155	8755.43774	6039.23015	5801.281
90	120	10833.53003	17678.24363	14837.97934	19252.55756	19108.16073	18720.78613	21609.50639	16804.43708	15710.00538	12873.10286	14210.05841	15918.70786	14194.67176	17073.5917	18378.02563	15607.47531	13236.58578	14680.72383	9422.5103	13408.97894	14951.97126	19450.85807	20453.6518	17509.38096	20589.34543	15595.88839	14034.19943	14637.70168	20979.42968	15120.49505	12144.59896	13518.83355	10278.94893	8984.30482	10551.00417	8945.48337	9325.22732	7926.17155	19604.82475	16356.55595	21046.33839	20299.14437	13528.13744	17439.67491	17769.83769	17165.24699	19811.17782	16643.48023	19795.61659	21548.56979	19742.51032	17539.50591	16771.2884	18233.69539	20807.95218	18749.43371	20852.87305	24037.07564	18960.86137	19708.27117	19602.80078	21328.46088	18634.96448	21173.92153	19930.28595	17682.99202	18608.61626	19268.53348	21801.01654	14669.92705	25885.75159	19682.39209	20445.64351	21511.52245	20505.25062	20550.78271	13831.4016	17179.833	18915.57378	17843.72102	21124.27281	18485.65384	19676.37065	21160.39766	21459.47395	18439.69119	16349.71093	20039.77059	22936.39036	21140.89319	20974.45788	25159.99391	19929.35675	22395.52979	20047.56807	21333.47927	19218.98881	21069.48295	21172.49276	16828.50609	19855.01372	19975.3487	20220.80084	14002.98038	26209.2289	18113.97874	13729.91371	8540.72349	14790.31847	16980.20056	13547.87526	14122.06536	14296.36278	15108.33727	11958.51404	14844.34213	14790.83508	17805.00532	13401.07296	15203.55332	15287.69489	12390.36914	15324.99826	18741.26314	16202.22851	15818.77126	16625.15664	10717.30362	14779.99161	13939.59357	11380.83952	15035.10628	14102.50543	14640.02857	13235.96637	14579.52239	16943.21436	14572.37374	22325.95825	14269.61757	13223.34592	12386.18813	13412.3195	18576.80629	13262.80605	13185.9572	15057.39757	14978.62983	13627.35504	15651.51008	13942.10342	16772.78967	15334.37255	13505.29726	14951.44527	14219.96846	15053.61521	16245.98585	15007.26563	17839.12006	15836.61905	14093.04854	13949.28095	15464.41207	12378.37357	14738.79031	15937.30012	14381.76664	15112.46351	13669.09116	17554.41395	11364.28289	21501.6336	13577.42752	8979.85777	9022.4054
120	150	13914.92499	22586.36857	20381.86627	24862.01744	23463.7719	23267.62005	27354.01808	19908.09223	21498.4427	15692.68784	18179.56116	20446.38132	17917.34058	19994.7277	21946.88497	18681.21945	16563.25154	17736.86901	11183.30986	15680.18205	19288.13391	24990.96084	24484.21021	21867.79337	26545.50422	20324.26479	18152.64021	17811.82408	25896.48522	19272.8415	19054.95573	14989.14906	11841.83689	12577.31008	13535.88703	10894.31587	12588.9649	9651.88071	24400.16382	21560.01894	26194.35789	25157.40975	16981.89979	22685.80473	22836.73138	21421.55689	24321.47497	21117.30196	25588.48791	26422.05097	24453.02111	22000.96986	20387.73878	21719.94515	25686.14661	24541.63778	25574.64163	30936.88412	23808.35307	24718.35503	24562.05079	26334.79231	22252.36356	26439.25757	24460.8629	22469.65503	23758.86979	23648.27687	27095.61874	19704.90705	30772.89159	23875.47238	25390.61035	24157.61726	25553.40825	26447.24594	15505.7199	22107.16254	23743.56416	22550.88627	25885.9882	23166.25387	23563.60254	26713.46843	25715.04602	24024.59176	19225.72759	25459.28299	27983.85481	27096.09093	26087.6395	31767.78129	24234.85601	26968.95883	25120.18924	27270.38142	23777.98157	26722.81611	25834.40408	21600.17128	24390.80523	24558.81137	25473.67451	19118.90353	30297.35665	21874.64495	17316.76831	11984.44297	17998.55378	20535.40399	17016.61916	18841.43123	18246.6812	19240.29345	14697.96633	19408.47243	18586.73912	22260.66915	17638.28848	19343.68605	20069.73703	15765.61698	19522.94722	23918.79632	20179.34104	20424.18467	21085.80584	13659.25982	18415.04139	17599.72429	13454.41807	18370.15737	17480.2745	18285.28105	16784.99971	17935.46382	23003.60965	20154.3574	27312.8965	18255.58746	17436.8472	14850.52625	16479.66136	24143.6382	15688.07791	17821.98456	18646.08495	19166.35247	16944.57005	20387.18687	16829.91246	21961.94706	19356.86048	17616.56547	17330.22959	18001.5095	18464.84499	22355.21207	18746.77527	22990.31395	19548.41954	16799.40512	17586.97024	19391.32063	15021.10251	18679.295	19307.87321	17896.66256	19004.11105	16713.77635	22119.05031	16571.11787	25758.66803	16749.09562	11285.40811	11062.72384
150	180	14269.72415	18418.99272	20694.41973	26257.19401	25251.59184	25185.62931	28867.70319	21801.01157	20277.93141	17127.22982	20012.20762	20206.07875	17681.66582	21506.83672	26395.35321	19731.72041	18908.43287	17233.60607	11846.40675	16104.09502	20229.95633	26297.1764	26538.5988	23285.379	28254.83967	20551.47469	19179.88103	19222.30906	24864.87125	19996.81283	22017.40381	16673.91332	11609.25806	11675.49223	13755.46658	11201.10643	11777.62728	9696.29801	26017.92764	21421.62225	27839.24866	27450.0786	17534.50872	23570.04925	24676.16318	23322.06722	25666.43411	22674.50501	26416.67397	28175.76887	24375.10806	23202.11404	21590.45302	23924.87251	26323.90596	24392.39544	26893.48676	31481.07542	24944.37551	26352.95038	25717.88558	28144.91165	22969.58879	27902.8304	26078.38836	24149.03707	24345.92941	25124.5391	27491.75443	21325.92574	32871.71894	24148.48112	25536.17728	25650.59767	26576.34321	27303.75141	17083.3591	23902.09592	25201.11213	23844.90779	27966.10144	24750.14911	24550.53689	27567.75894	26776.54875	24655.70914	19620.12186	26800.50783	29105.49154	27216.95379	27220.09108	33229.60564	25645.05055	28454.4508	26387.7583	28098.92474	23623.41894	28128.14421	27249.14431	22405.01244	25433.31819	25777.624	28101.89147	20400.54527	32526.6876	22893.33012	19031.91592	12264.97209	19149.61574	23494.43387	17454.93978	18948.04966	19583.47589	21071.9128	15960.8734	20482.35821	20119.27432	23993.40261	18115.49804	20379.72341	20643.69306	16809.54383	20010.13379	24171.1492	21056.52606	21790.62903	22513.55721	15121.86709	19684.54461	18988.09734	14208.35073	19369.10561	18837.22232	20149.57496	17625.35008	19459.64648	22428.19338	21597.27222	28640.03066	18612.90681	17426.96011	15327.76827	17168.27654	25486.04991	17271.04275	18625.91873	19855.69841	19923.97549	17441.19692	21520.70728	17991.05641	22458.7461	20183.1641	18262.5981	18127.66923	19469.00586	19428.90125	22821.58356	19915.74585	23947.67247	21332.00849	18232.32782	18802.56456	20048.5725	15234.14474	19660.93763	20604.6267	18958.144	20573.76989	17800.67679	24071.31508	17410.20375	29665.53347	17598.20802	11975.02239	11713.24737
180	240	12639.11813	16749.40341	21437.5922	26960.63173	25588.38194	24720.63126	29662.40388	23195.87138	22368.27016	15685.04534	19289.44444	19992.54729	20266.60797	20667.96184	26520.17754	20760.72075	20971.71659	14929.91835	11086.68636	14898.64545	21061.64958	26874.47949	26618.37015	22635.90971	28748.07715	22485.65996	18688.53685	18803.45125	25684.58047	20858.12893	24580.07438	14967.60936	11684.06547	12720.56733	13870.65559	11749.92093	12368.3594	11077.44659	26283.63234	24242.65612	27864.77501	26937.4518	18584.91131	23843.78508	24505.48339	23741.23336	26363.02422	22747.08695	26061.12205	28317.219	25811.82696	24179.08177	21927.65842	24242.35348	27049.17601	26365.40177	26610.67993	30615.55897	24374.64775	27494.48659	26044.51815	28257.7975	22674.80436	27896.64042	26043.49753	23554.39354	24838.01571	24788.65004	28019.79873	21805.41842	32225.91286	25229.25889	26670.55678	26178.85984	26477.73379	27563.06898	17366.35591	23607.87754	25619.50522	24164.62742	27071.08214	24897.62521	24637.9635	27854.69407	26953.37916	25334.86091	19896.90183	26150.08552	28269.98754	27616.90519	26984.51457	31850.69636	25005.31554	29753.37746	26082.63552	28120.14347	23726.93503	28040.81856	26749.89376	22627.50773	25589.37388	25783.38233	25909.81932	19925.08851	30996.17183	23775.63925	19792.53492	13732.4465	20392.99834	23827.10287	18870.52357	18867.28906	19994.95756	20263.26716	16622.03698	20471.23455	19544.6072	23829.70213	19071.63288	20718.67066	20891.01173	17479.47891	20551.55508	24886.09342	20638.75535	20728.73259	22507.54409	16138.55442	20476.44171	19535.95833	14805.85329	20437.68501	19778.02515	20634.36187	18405.66568	19246.81454	22967.81462	20804.48636	28698.43977	19269.07358	19168.40564	15799.52501	18884.60616	25817.98608	18845.93847	18818.09684	21445.0991	20462.88207	17608.46957	21937.83374	17684.89076	22985.04756	20639.76249	19336.66978	18933.73961	19107.32786	19535.33077	22156.03065	19967.3837	23464.04811	21919.23878	19152.3769	19730.78985	20634.40599	15374.92837	20621.50761	20747.95684	20402.43182	21135.18139	18415.53254	23047.53893	17656.96785	27866.87409	18326.1915	12329.59629	12090.45156
240	300	12489.96245	19176.54733	20868.78908	25081.55934	25019.64289	23420.43581	28531.38517	22526.41166	20717.34833	15025.15084	18913.68595	19731.92762	19581.26471	19150.73125	26130.00757	19601.72417	17063.50946	13345.2405	10852.03936	13275.53832	19891.56779	25039.36909	25624.84393	22413.23172	27580.94965	20610.20538	17487.4288	18390.9567	25462.86883	20895.86886	20114.32194	13835.75842	8176.75527	12174.79126	12632.03768	12068.87753	12310.64824	10807.57927	24825.51971	22710.33122	26355.19014	24557.91266	17060.76986	22932.28912	22768.54431	22843.80781	24312.59293	21253.89044	23898.06145	26435.1093	23638.83615	23227.20309	20672.90517	22456.52912	24969.42224	24828.56502	25218.84926	27634.46297	23125.54395	25908.91165	24495.76524	26355.12809	21685.45443	26473.75416	24598.52382	22414.98996	23325.39203	23275.37756	26616.04558	20543.42414	28663.08889	23322.7242	24548.17572	24310.03427	24359.17166	24867.87442	16894.50054	22964.57461	23727.31722	23211.92515	24666.35955	22662.04086	23448.15296	25681.92909	25154.44645	24333.24216	19754.35773	23485.5059	26169.07709	26482.26536	25252.77758	28937.19279	23611.64689	27077.31398	24213.57201	26232.43976	22237.73837	26154.71533	24847.70398	21240.26434	23657.78	24327.46661	25030.13343	20008.41162	28312.22821	22392.52183	18709.86742	13559.97269	18893.22258	21445.99337	18011.78659	18633.04997	19204.20047	20077.34001	15653.43431	19852.64774	18463.05246	22529.7869	18240.04809	20273.04264	19971.33761	17151.40933	18952.85381	23293.51031	19713.19456	19658.72623	21525.46741	15698.47279	19573.80743	18679.2003	14652.17271	19115.68857	18496.40062	19935.83538	17471.7874	18509.028	22981.89916	20359.97142	25811.08731	18457.20556	17702.72252	15542.25967	17476.72624	23633.90786	19137.70562	18712.71272	20264.41861	20118.79223	16859.51385	20671.619	17346.19194	21207.7783	19384.41299	18740.39971	19038.08809	18044.13975	19083.79824	22110.66142	20034.39677	21558.64183	20554.86349	17896.78992	18562.12831	19734.74038	14362.21748	19338.26176	19513.2268	19196.86346	19519.43406	17539.79989	21349.51263	17482.43065	24863.6183	17586.82862	12043.64045	12060.32033
300	360	10842.23482	15682.3297	19896.47423	23507.3886	23622.79628	21863.1015	26581.48121	21931.95326	20207.07639	13643.08715	17792.49157	18207.95347	17905.17706	16557.35609	23942.20578	18875.95081	19098.41812	12171.59197	9357.31237	12870.81032	18969.35993	23344.64632	23815.91475	20096.70738	26228.21137	20209.91362	16719.16271	17211.8866	24432.66754	19183.94047	24074.36279	12357.01059	8733.51577	10894.21629	11977.38893	10744.61919	10778.72862	10600.87572	22817.70818	21671.16471	23690.48148	23063.56115	17352.89637	21003.89689	21245.68835	21030.05538	21743.46813	19726.4905	22321.50445	24402.18541	21849.63283	21484.18588	20349.0092	20835.85943	23128.75081	22724.87737	22982.11068	24977.75872	21024.49644	24083.37859	22458.19149	24203.75415	21117.89745	24254.75665	22476.52009	20911.96033	21732.64777	21750.80931	23703.98068	19355.86951	26444.16959	21592.62215	22065.72279	21998.39206	22625.55738	22687.92343	15949.54648	21244.51149	21980.43803	21433.99416	23142.34512	21295.52619	21935.86056	23319.16044	22920.72782	22030.86111	18797.12352	21480.01623	24040.49592	23756.16457	23086.94017	24809.22462	21624.69101	24530.29755	22255.20331	23994.41157	21044.76664	23988.68054	22412.44388	19730.90462	21604.78139	22339.38795	23283.59041	19454.51235	24903.66995	20694.20219	17788.8975	13847.79841	17417.12009	20761.2779	17756.0277	17225.9688	18286.31127	18760.19957	14447.4735	18298.97617	17975.79079	20695.60472	17054.04259	19173.69653	18585.24948	15939.77161	18341.21616	22801.15332	18801.29951	17979.14503	20110.86657	15182.54338	18462.16837	17104.81749	14412.38998	18202.49483	17549.63317	18911.04677	16699.35247	17728.50895	20493.62126	20104.02741	23730.93988	17884.46465	16950.34685	13892.89686	16839.66611	21676.34928	17391.92176	17419.14276	19024.73005	18215.93912	15968.70371	19285.1976	16885.08652	19777.49962	18004.35695	17575.43456	17590.63918	17070.81243	17541.19919	20173.09867	18499.94442	19360.47592	19241.78336	16724.24958	17374.42291	18318.72314	13933.40354	18400.48477	18179.90803	17938.24752	18074.58772	16983.34239	21255.86772	17039.40201	23269.5793	16954.47168	11725.36907	11635.58921
360	480	10590.11537	14104.67744	18365.51501	20883.94861	21979.92638	19862.53147	24266.30906	20876.88498	19318.87545	12408.69376	16800.26003	16956.16509	16851.44097	15443.40896	22371.83646	17894.61764	17849.18627	11076.30312	9286.64531	12454.74622	17682.36399	21109.95259	22494.52013	17762.35016	23510.99913	19739.73962	15765.11628	16692.50294	21621.7346	18253.78849	18248.05257	11849.48232	7642.45388	10739.39763	10492.12452	10238.61608	10700.51884	10698.94285	20396.00297	18405.61541	20576.43878	20334.81214	15267.45211	19056.27939	18882.65231	18835.02338	19462.16611	17615.88008	19830.9158	20923.37737	19458.52669	19050.38718	17566.14152	19176.73275	20483.95825	19215.14519	19920.09718	21177.05426	18898.51836	20434.91201	19580.8723	21083.23109	19048.08504	21303.6161	19783.43745	18684.42755	19119.32318	19193.4509	21504.99519	17879.0159	21839.1133	20205.38331	19524.66179	19822.23429	19862.30761	20301.20732	14481.05882	19370.97286	19583.97177	19204.22805	20059.60779	18991.71024	19396.45396	20361.12832	20568.64328	19589.36162	16539.88432	18918.87907	21066.78675	20724.88619	19986.21583	21973.88981	19118.67975	21387.67662	19621.73972	20741.43223	19262.15674	21008.85017	19639.67206	17958.37382	19598.86073	19646.20401	20292.28455	17386.3079	21751.66172	18973.21961	16610.47724	12430.27316	16025.62666	18296.79117	17080.38265	16222.75838	16335.92347	17332.01823	13521.67929	16414.95878	16577.09811	18289.75264	16049.17927	17731.51595	17802.40416	14587.41424	16845.04828	19611.96384	16752.93688	16054.76505	18117.78279	13114.02421	16325.18536	15545.47476	13573.14069	16828.4369	16020.6147	16692.43154	15309.56364	16297.12605	19491.99866	18900.11492	19890.27002	16860.49273	15547.02752	13649.36462	15215.7841	19343.82601	16832.36027	16206.83944	16906.67604	17296.91443	14707.20847	17238.24404	15625.48676	17356.20009	16671.10091	15983.02742	16454.77583	15508.10538	16137.85243	18669.77447	16569.55963	17242.82196	17123.96168	14930.06435	15615.51264	16366.83588	13579.81637	16645.61574	16706.27363	16306.10929	16898.3681	15529.62377	18050.23156	16579.24457	20126.56113	15823.08081	11427.85032	11184.46851
