frame_start	frame_end	Left-Lateral-Ventricle	Left-Inf-Lat-Vent	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	3rd-Ventricle	4th-Ventricle	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-vessel	Left-choroid-plexus	Right-Lateral-Ventricle	Right-Inf-Lat-Vent	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-vessel	Right-choroid-plexus	Optic-Chiasm	CC_Posterior	CC_Mid_Posterior	CC_Central	CC_Mid_Anterior	CC_Anterior	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula	wm-lh-bankssts	wm-lh-caudalanteriorcingulate	wm-lh-caudalmiddlefrontal	wm-lh-cuneus	wm-lh-entorhinal	wm-lh-fusiform	wm-lh-inferiorparietal	wm-lh-inferiortemporal	wm-lh-isthmuscingulate	wm-lh-lateraloccipital	wm-lh-lateralorbitofrontal	wm-lh-lingual	wm-lh-medialorbitofrontal	wm-lh-middletemporal	wm-lh-parahippocampal	wm-lh-paracentral	wm-lh-parsopercularis	wm-lh-parsorbitalis	wm-lh-parstriangularis	wm-lh-pericalcarine	wm-lh-postcentral	wm-lh-posteriorcingulate	wm-lh-precentral	wm-lh-precuneus	wm-lh-rostralanteriorcingulate	wm-lh-rostralmiddlefrontal	wm-lh-superiorfrontal	wm-lh-superiorparietal	wm-lh-superiortemporal	wm-lh-supramarginal	wm-lh-frontalpole	wm-lh-temporalpole	wm-lh-transversetemporal	wm-lh-insula	wm-rh-bankssts	wm-rh-caudalanteriorcingulate	wm-rh-caudalmiddlefrontal	wm-rh-cuneus	wm-rh-entorhinal	wm-rh-fusiform	wm-rh-inferiorparietal	wm-rh-inferiortemporal	wm-rh-isthmuscingulate	wm-rh-lateraloccipital	wm-rh-lateralorbitofrontal	wm-rh-lingual	wm-rh-medialorbitofrontal	wm-rh-middletemporal	wm-rh-parahippocampal	wm-rh-paracentral	wm-rh-parsopercularis	wm-rh-parsorbitalis	wm-rh-parstriangularis	wm-rh-pericalcarine	wm-rh-postcentral	wm-rh-posteriorcingulate	wm-rh-precentral	wm-rh-precuneus	wm-rh-rostralanteriorcingulate	wm-rh-rostralmiddlefrontal	wm-rh-superiorfrontal	wm-rh-superiorparietal	wm-rh-superiortemporal	wm-rh-supramarginal	wm-rh-frontalpole	wm-rh-temporalpole	wm-rh-transversetemporal	wm-rh-insula	Left-UnsegmentedWhiteMatter	Right-UnsegmentedWhiteMatter
0	30	29.33967	60.23086	19.75879	24.81235	27.19215	10.70429	43.68864	61.65397	32.75246	62.46077	31.07421	98.05943	39.68582	27.41317	9.95749	16.07237	10.76805	20.32957	38.84505	13.86429	16.16717	30.33658	32.2675	49.74004	29.163	72.56825	13.05529	24.79657	14.14566	18.18483	10.69381	69.79194	46.57185	36.35365	5.80586	15.96556	20.0267	16.91986	15.17745	33.45523	16.27851	2.59655	48.56442	14.95566	21.10859	11.49525	53.48701	13.14417	15.14463	16.00562	11.62736	18.90056	11.66102	8.23795	14.1284	11.72516	37.102	2.22441	9.70855	13.98145	15.71797	22.95678	13.64889	20.64094	13.98203	9.0469	20.374	28.78272	6.00488	11.52067	14.16883	15.24157	29.52935	17.38662	27.05961	9.00781	50.73662	20.15444	20.4272	69.07868	10.23289	25.881	37.92148	13.19602	39.80171	28.57738	12.0283	11.44703	19.90489	52.89105	29.57225	10.76569	21.88503	8.85422	19.72114	25.66107	19.3759	24.43828	20.81542	22.21453	38.3394	28.26245	23.61915	25.24746	33.95808	39.537	15.87275	10.40354	14.65649	2.47207	34.81376	47.14183	16.12359	34.07111	32.09522	14.276	18.53951	18.27739	19.13032	31.97986	23.90201	3.95206	15.57166	8.08044	29.13713	2.60601	7.03701	18.76147	15.02562	25.92186	15.45006	19.8064	19.55259	9.14793	22.88573	19.75058	8.46937	19.2558	13.44774	33.13822	32.12561	20.96421	33.62875	14.10553	44.44921	19.49894	32.75043	95.95369	8.15957	25.42598	23.75493	12.00975	39.10618	35.51433	10.99534	8.55253	21.80144	21.26627	17.60418	15.62118	24.15241	14.20262	16.98822	24.12466	27.75893	26.0847	27.68523	19.7928	33.61537	30.86991	17.50925	34.70729	32.52943	29.76491	17.45813	24.91735
30	60	1271.10954	2948.23702	2872.29787	3791.03568	3837.15811	2877.51689	3963.68189	3335.1197	3561.6452	2881.43396	3398.66073	3676.84723	3771.47152	3128.33636	4021.66374	3338.67165	3301.4496	1995.44824	1581.03728	2190.91435	3162.97564	3767.30221	3847.97313	3355.37904	4177.45886	3977.93968	3379.49827	3857.57001	3632.95403	3690.50557	5624.58013	2495.77364	3576.41335	1684.45404	2751.44039	2232.40192	2022.40053	2379.47561	3995.94111	5017.67826	3660.11559	3906.20608	3415.01474	3561.95247	3652.27558	3742.56674	4121.18963	3880.3689	4187.48448	3901.92912	4582.27538	3754.56588	3713.70667	3605.6339	4387.85001	4278.73488	4372.64214	3883.76553	3579.51856	4800.70907	4063.46634	4054.57617	4829.03908	4196.06845	3810.65007	3686.25577	4381.62063	4091.41157	4359.42808	3291.78865	6641.07938	4871.20749	4359.9067	4418.25238	4017.01657	3807.21944	2783.80356	3768.66814	3744.13793	3627.53396	4270.25908	3796.64779	4594.39427	4044.81003	4863.15805	3760.35253	3676.48129	3703.78074	4409.26213	4541.14796	4617.95988	4275.05252	3887.5906	4623.05468	4144.47987	4006.12856	4706.76351	4495.15341	4030.4545	3643.42332	4413.02595	4021.41863	4112.79768	4982.20126	6462.06988	4583.34025	3273.30297	3098.171	2781.52527	3205.8891	2935.33425	2536.92729	2993.1928	2857.32582	2467.91877	3460.6176	2844.71174	3433.61318	3054.57641	2822.34406	3114.29976	3475.14145	3338.95551	3372.53225	3288.7185	2755.55611	3102.33251	3387.09634	3504.36641	2999.91576	3082.1037	3123.64327	3147.47152	3132.86661	3269.81965	3191.77861	3496.17502	2573.83156	4527.0025	2998.97183	2497.17478	2199.7256	3344.14723	3193.62347	2590.03655	2786.55133	3036.0071	2991.17943	2366.39402	3450.60424	2963.3066	3307.27684	3366.19324	3317.20827	3389.89886	2970.67257	2972.55586	3881.44099	3184.25073	3103.98799	3354.69541	2629.6936	3029.79602	2825.50745	2810.14751	3464.54997	3094.12497	3290.72381	3487.3387	2941.50745	3748.768	2940.80567	4232.72738	2952.82958	1764.43341	1934.71596
60	90	5908.38929	12350.23598	13724.35853	16717.0155	16676.25656	13578.49072	17514.12533	13746.02215	14725.13376	10875.33216	13703.10514	14795.58991	14978.96028	12978.3807	16629.24475	13694.34169	13462.33475	8301.04224	6561.66815	10823.58931	13469.5302	17110.84977	16564.68855	14238.79387	18389.52539	13750.58815	14189.98986	13920.15639	19170.91549	13627.57192	16598.93828	9755.32712	10389.53252	10254.8295	9843.19566	9963.79306	7163.15427	7502.26316	16618.27435	18556.36702	17894.04925	20954.71161	12778.11984	16186.10954	15845.8294	15943.65699	17191.57952	17210.85608	18807.78514	19219.33005	18977.01186	16221.9249	15437.49711	15458.51905	18954.16029	20086.31584	18631.08871	19768.26345	16200.79979	20653.87741	16941.88392	18510.1879	19098.43707	18893.17797	16639.53181	16264.19984	16768.79917	16646.06895	19162.7367	14392.75502	25545.4457	17276.27294	17096.56055	18379.06405	17045.15277	20141.91507	13295.39581	15553.84612	15904.31403	15139.82867	17991.57979	17237.35698	18455.12877	18768.59271	18264.97302	16260.52705	14634.4473	15822.37285	19443.42624	19026.04613	19178.50656	19874.51362	17102.72096	20292.43863	17649.89432	17690.31149	18962.25921	19275.87261	17092.0642	15374.71253	17204.25373	16682.24803	20471.69099	15296.75496	23840.09262	18334.08288	13378.97576	11268.66699	13774.20735	17787.45524	10712.70195	11282.09645	13254.8472	12476.68471	10991.8042	15521.14021	12825.74953	16110.4045	13064.07856	11915.02694	14549.94294	14333.17775	13861.49067	15593.32276	12581.86241	13846.53463	14308.83301	13744.20159	14231.29405	13342.0852	12056.21951	13621.54648	13282.12774	13733.2309	13114.70041	13286.48623	17200.33721	10816.53748	18620.87666	12332.14122	11616.25264	10782.68688	13282.82606	18151.52075	14185.99499	11366.75821	13364.62389	12063.89018	11722.1323	15475.59105	13747.04636	15301.07648	13888.67744	13791.05284	13096.78578	12309.47501	13097.394	16352.43164	13179.76906	14314.31766	15453.74749	11390.4324	13690.20933	12636.76515	10893.65391	14563.41677	13523.74127	14249.23166	13943.78159	12617.85414	17025.98075	11560.72129	17395.47044	12833.84976	8045.2099	8164.48301
90	120	10632.19908	23380.8547	26191.44914	31318.60361	31773.54514	26599.58609	34911.38732	25650.7582	27461.13171	20181.7353	25209.1194	27370.61565	24948.01838	22204.26214	30689.81457	26731.25305	28970.4426	14541.96228	12645.80527	18273.57926	26328.88827	32255.21474	30700.30873	25871.32194	35262.84149	27156.85067	24957.99305	26209.18913	33761.73997	24985.02904	36423.85215	19254.13416	21756.10588	18002.91271	17484.07477	18521.32515	16520.51714	15683.21364	34188.54529	36011.25937	32934.49656	39196.43268	25849.44652	30831.86942	29138.782	30310.08831	33755.44973	33020.03414	34600.24573	36834.26643	35486.176	31056.31978	28898.75927	30429.47717	34986.64557	37214.00136	36047.63743	38059.07557	30265.6131	37905.6362	30911.82259	34982.99564	36150.04908	34861.81566	32310.49621	30496.68035	31850.70465	30692.16672	39877.75903	27190.7558	43771.87456	32528.02309	33689.63396	34250.9574	34011.17793	38169.69236	25364.41108	31207.76174	31069.95834	28859.46108	34099.61393	34129.26326	35129.34329	37220.71222	34804.05832	30574.70342	28379.63555	29855.78635	35686.34891	37310.64512	36548.86562	39494.44107	32540.54404	37083.08401	33553.10936	33756.96001	32994.53292	36518.1925	33144.60785	29488.51015	32145.22818	31772.98697	37924.56559	26496.44181	46041.81594	33065.94263	26418.02676	22341.40836	25579.92293	33282.86338	24591.30636	21779.29638	24457.12126	23923.75297	22239.38096	29600.15554	24504.64219	30703.52372	25596.76237	22899.29119	27127.11334	27353.56879	26147.8951	29178.00666	25118.00098	26158.95027	25975.35793	26006.86385	26573.60505	24922.29258	23750.83096	25503.94729	25633.37628	26800.25158	25218.48319	24912.7721	35048.594	21947.99362	32432.73473	23898.73397	22683.11442	19314.61462	25110.36845	34408.18326	24551.18286	22348.40279	26012.7089	22754.85982	21204.00201	30259.1639	24479.62711	30769.83639	26145.73109	26760.04165	25827.17265	23958.14753	24547.07244	31205.25362	26143.30176	28556.02283	29672.97544	22141.51055	25186.60753	24214.24027	19093.13286	27629.92615	25949.46125	27493.15785	26564.81918	24114.87333	31820.36945	21698.88287	34241.22746	23861.06278	15181.81177	15356.31391
120	150	14795.5451	31793.10105	37861.84774	45655.26335	45361.50896	37957.36323	51094.73776	36464.32609	37182.53886	29835.39059	36308.87789	38422.85623	37014.60812	30867.81193	49919.90227	38543.46162	49021.20296	21657.08577	18529.43677	29522.86933	37719.37503	47098.31533	43436.10593	39642.0558	51224.1903	39434.6924	38728.89902	36836.78353	44504.62303	37459.04361	47284.20117	26994.53511	29821.56143	25594.7531	25309.01162	23783.53826	17708.36484	23642.31588	47551.40536	47383.4822	47481.32216	54928.35546	35148.17346	44842.84997	42180.57768	43934.26764	46740.99831	46355.76547	48562.7893	52110.74324	49270.03132	46132.57089	40484.79046	42007.31361	49558.14098	53337.61336	50688.30391	55044.79543	43203.55331	55204.27636	44219.48864	50004.89889	48284.6644	50320.14589	45669.38445	42698.03577	45378.19277	44365.43806	54952.48518	38256.78262	61448.73379	45169.7447	45237.57069	46463.43238	47333.65417	53838.32422	35502.14961	44426.56556	44098.73624	43056.68767	46554.12061	49047.84103	48884.81604	52410.38927	49133.47817	44876.08055	38659.74617	42868.29311	51460.74814	53749.83296	51806.07455	54722.62988	45205.66747	52551.4054	46845.86876	48276.52286	46409.63372	51748.97255	46037.20883	42258.10998	45726.77564	44727.48044	54950.71687	38733.67001	60620.37189	46750.90066	37081.59037	28912.06442	36506.08545	47907.10198	35191.67629	31627.27497	35192.63619	34423.00266	31053.57169	42084.89387	33666.10415	43645.82609	35838.57137	34487.27546	39946.9401	39186.46992	37583.3919	40722.04902	34525.09313	37516.33628	38200.29062	37192.19535	38342.78675	37035.18568	31420.56875	36287.56434	36092.2567	37651.98451	36050.92411	36165.58379	48374.97582	31307.21527	47370.02538	34300.73021	30233.6041	26613.09112	35598.71514	48410.65512	35349.95186	32691.37382	36361.7192	34004.68528	29520.96842	43580.39973	34525.56407	44361.18376	35802.84	37976.5938	34920.37605	33402.74306	35699.22867	44636.8136	36880.14513	39745.28682	41025.75539	31283.25291	35706.68604	34477.53528	29138.37066	38766.52931	36481.72701	39756.72719	37378.0156	34000.92952	47266.00362	35306.65641	46552.28096	34223.58804	21493.0428	22063.67304
150	180	16498.93112	33905.63838	42809.20661	51734.41476	52131.4667	41656.46141	58805.04694	41407.51808	43539.16989	32262.26248	40870.05546	42405.90767	43607.56099	34450.50356	54731.73429	42591.16981	51313.55299	24015.12987	20045.03572	30638.36873	42486.49248	52601.21046	48717.10495	43997.52014	57148.6696	42538.74736	40342.33726	42047.80135	50028.22757	42052.80852	53965.24922	26617.73897	26930.60188	29118.58249	28842.84387	28381.72245	22753.30401	25263.02213	52520.26614	52776.31945	52120.06971	61878.14484	40050.71644	50871.13408	46938.47935	50293.61317	51862.67575	52733.83061	55111.25678	58505.21033	55170.56595	50824.41296	43240.52891	46535.09031	55639.59336	59694.63283	57539.452	61738.76572	47295.81746	59734.08159	49259.64212	54927.89337	53270.5593	55889.28655	50101.87364	47522.69317	49803.71741	49526.11121	60317.71195	42739.72052	64301.81664	50089.30222	50211.81063	52118.59425	52036.81766	59419.00006	40961.32863	49871.50219	49953.71742	48462.40566	53588.00818	54620.9305	52903.22786	58128.37807	53811.40905	51083.34124	42850.07812	47897.2651	56015.50432	59594.67134	57925.8761	59983.95368	49704.78102	58475.74235	52478.3475	52340.41654	47811.83081	57752.70063	50337.53255	46577.91414	50740.23416	49383.18815	62461.86077	40978.80292	67993.10771	51667.50322	41133.23904	33929.03831	41077.28709	53727.6595	38690.07833	35339.40915	39747.84101	40057.56045	34301.43335	47726.39566	38905.07342	49072.4597	40883.77637	38358.89054	40799.93644	43602.51732	42125.76293	47647.29841	37494.91379	42582.80829	41925.97143	41468.46211	43183.83865	40665.43078	36352.11119	40947.39475	40437.06159	42460.18847	40426.723	41054.34727	50388.27135	35271.56627	51859.88044	38929.71904	34139.9014	30867.45218	40524.38152	54151.64947	42493.4845	37048.23861	41353.35688	38620.16945	32802.69312	48611.02537	38167.56573	49390.37447	40169.75844	42787.61588	40109.75769	38023.92677	39713.73486	49285.56896	40056.35523	44443.06427	45381.59676	35062.21368	40213.53851	38119.99495	31432.38378	43855.22196	40424.11867	43676.75399	42634.95417	38036.31627	55695.31541	38811.97136	52999.62994	38536.66006	24145.16748	24431.31951
180	240	16885.33778	34680.7372	44532.84755	53274.80131	53502.31894	44874.06246	60755.92955	44251.53447	46774.01372	32290.18056	41783.43567	44118.44244	43555.8272	34405.20659	56476.33914	45194.17075	54982.56097	22957.62257	20076.07751	30567.54145	43563.43795	54602.23856	52669.56432	46122.93567	60618.30751	46303.09487	41504.54631	42359.30787	53387.37675	44040.28503	54346.12383	26729.46414	28076.36952	30189.76507	28037.38462	28101.76551	23741.91221	24414.42195	55697.81151	54128.41867	54127.6022	64382.05348	41109.5582	52973.98781	49548.18278	52264.81459	51828.16631	53491.50743	57123.21404	60165.27407	57268.92506	53251.11182	44571.41026	47224.24911	57528.08818	61222.59911	59209.11855	62228.68417	49364.60158	61093.29947	50764.90309	56102.57867	54327.81139	57790.92993	52164.58913	48599.4889	51663.22437	50992.94214	61991.78486	45648.51777	66734.20288	52031.17163	52666.36182	52664.99507	53994.56688	60664.59064	42561.66175	52402.96604	52119.34206	50102.85473	53828.70753	56068.33984	55920.18134	59045.03129	56158.65567	52944.44047	45482.40034	48483.41677	57715.57309	61658.84972	58950.81826	63219.69125	51852.87602	59021.83193	53902.87813	54470.09413	51154.15369	59426.47609	52469.88237	47707.66846	53052.73519	51951.45733	62335.72102	42049.98824	64474.56045	52761.64012	44010.9007	34959.48777	42497.374	56780.28952	42911.36601	37055.09456	41250.69819	41738.31592	34311.56022	48516.83311	40932.18319	50446.12346	43039.03004	40231.31928	42770.47901	44873.36041	43411.50944	47877.45888	40469.5835	43715.73746	43777.22809	42328.8124	44103.79685	42567.08826	37362.05867	43097.49697	42733.76118	44041.48925	42232.20765	42242.15214	58198.22869	40122.6355	52107.43065	41290.81146	35655.22627	31636.5101	42378.59636	56638.52516	43349.10034	38815.03807	43351.57932	39110.70293	34622.45433	49949.55272	40741.909	50875.99925	42424.86211	44097.70598	42455.7678	39397.99194	42100.94319	49671.81467	42618.1489	46981.72184	47100.19862	35223.44804	41241.18027	39682.73128	31839.07108	45562.72088	42492.76466	44970.77175	44143.52189	40049.59253	52977.03642	39227.24243	51519.60885	40303.02538	25484.31322	25245.6431
240	300	17124.18416	32371.6264	44013.45825	53091.15436	52905.72737	45310.37279	61944.88524	46226.64499	46815.18039	30917.42976	41971.38853	42228.32626	44581.3897	34740.01869	57896.69447	46624.06248	55176.11396	22063.53939	18990.80265	31929.92882	43911.42934	54652.69671	52658.77061	46452.13302	61121.21749	48047.03844	41157.50821	43257.41485	54625.29218	45755.45016	53085.61562	24584.52265	28501.28957	28900.05682	27673.21872	27255.65492	23728.19273	26346.352	54260.45719	53373.7746	53249.09887	60888.16006	40492.74704	52869.01563	48331.40787	52268.61362	52430.28975	51785.96236	55983.00757	57707.76613	55759.44704	52950.43905	45813.26979	45472.0848	56157.44242	59096.66697	56668.67526	61197.61857	48651.12008	59048.76853	50156.82227	54824.1889	54035.71819	56866.34899	50631.30303	47109.45401	51298.77913	49925.43181	60365.05835	46339.9754	63891.26637	51191.24888	52462.40781	53168.17518	53243.2286	58995.73568	42025.25275	52277.69126	50818.33679	50314.55402	52900.69225	54440.67104	54852.62238	56263.50661	55717.11407	52729.19549	46049.82902	47802.38721	56187.60492	59530.91071	57327.10591	61240.32578	50156.81513	57888.00645	53150.77164	52894.07635	49752.30783	58618.59926	51890.34323	46820.63703	52148.5493	50659.15921	62630.41354	42326.13298	62834.80142	52558.95324	43640.82836	34890.16096	42010.47692	53134.69305	42904.57681	37436.38513	41375.34545	42917.67742	35123.51954	47652.78998	41699.57992	48772.6593	42480.27562	40639.18572	44331.76633	44310.06739	43500.77424	48246.73333	40391.82321	43092.73019	43517.75256	41407.85809	44423.04848	41925.23106	37994.17421	43128.48365	41981.30293	43093.94701	42014.2517	41738.45359	55375.73988	39857.153	51408.60225	41169.63661	36994.29749	33502.35411	41344.60623	54745.07536	44857.51859	39564.37267	42121.16046	40932.57268	34619.14011	48370.16527	40876.67769	49157.21169	42275.84105	45009.44765	42485.65287	39230.03213	40958.68663	50904.6651	42546.05048	45529.63969	46555.48892	35059.13188	41424.93482	39340.17563	32034.78924	45473.23327	42114.33818	44205.09318	43732.86948	40123.94604	55411.59929	39997.91765	49883.35686	40812.1376	25922.86507	25962.48732
300	360	16745.40279	33289.55692	42427.09997	50615.38784	52317.28068	43954.29485	60385.8723	45777.1096	44729.41941	30134.67676	40972.96356	42317.30117	43861.91709	30983.13152	58231.04102	43826.53714	53621.35632	20478.14831	18996.95322	30033.60864	42600.83064	52052.01347	51741.69822	44568.65594	59268.06234	45458.47374	39479.43284	41698.95486	54663.19182	44367.04602	48332.38164	22324.57193	25384.36879	26837.6214	26070.60054	26492.86912	22740.09295	26203.18606	52145.30965	51545.84491	49739.47425	57760.14646	40314.70913	50450.02964	46464.03446	50104.35901	48842.83074	48787.12192	53460.5834	52868.62798	53798.71187	51325.89324	43648.48111	43217.44153	53306.22628	57325.20247	54178.52635	56311.32773	46237.33604	57248.22348	46816.57304	51614.00319	51764.12297	53781.75276	48320.278	44584.75602	48718.62666	47368.14165	59093.36182	44815.78531	57372.23529	50289.60145	50224.22177	49169.23852	49509.36021	55319.4907	39705.17482	49761.25644	48636.47191	49151.68911	50182.61329	51591.56932	51852.79575	52264.71209	52925.59319	50498.52351	44279.20772	45156.7313	53554.51493	57264.24342	54102.18441	56154.02717	47839.29118	56087.90649	50330.77203	50622.48788	48821.74173	55479.27233	49032.67407	44387.00923	49967.0863	48665.87868	59738.77131	40905.30187	62443.5041	49688.65583	41918.37843	33648.99535	40644.78809	51492.34053	42439.85302	36225.49146	39504.61284	40835.76694	33655.51975	45138.32628	39990.04093	45167.63131	41980.97686	39953.46385	43417.67185	42169.76335	41831.04159	47660.64459	38589.00751	40841.26976	42193.61829	40414.20136	42061.47513	40358.62558	36220.52878	41729.97728	40571.63855	41723.80024	41169.73595	40171.51103	55439.03794	40118.50806	47167.94503	40628.32789	35332.66193	31857.38043	39859.46532	52557.95367	41884.32512	38172.07561	40583.13348	39839.11267	33644.97469	45873.24679	39364.43558	46410.28793	41420.62627	43162.0955	41453.03014	37909.79071	39537.42147	49504.2308	41064.96347	43046.01999	44472.15201	33927.12659	40109.52159	37951.6926	32556.33636	43779.24666	40733.90047	42405.29539	42401.29909	39003.72708	52480.28792	40299.24286	49568.04999	39833.96215	25983.41417	25780.32716
360	480	15579.17062	30595.52962	40721.87043	46562.66387	49118.50807	40930.67661	55403.2902	44975.08652	41629.15398	26391.76281	38359.90179	38185.47455	43379.64664	29889.83018	50462.83669	43355.27649	47803.64351	18423.23488	18065.27329	30791.33607	40501.23319	47549.55178	47646.16068	42113.19148	55059.53558	45615.38297	38229.07734	41844.9042	50651.11376	41789.46749	48830.94258	21166.15777	24038.07356	26648.11099	23759.17862	23512.62336	21754.37432	24864.09163	47436.61189	46220.98862	44858.04222	52085.19363	38201.99741	47244.73172	42300.69886	47015.41927	43549.38429	43741.64296	49684.82149	47847.52452	49021.6797	47083.7858	40371.49263	39908.60921	48540.96038	51742.51158	48474.06117	49505.26867	42029.55331	51339.24791	42202.55371	46587.91786	47248.42256	48669.67784	43685.683	39681.46536	45038.68608	43324.18465	53128.95208	42418.92073	52182.29624	46024.93532	46881.57569	45341.2929	44808.86986	48905.27573	37409.21777	46667.5797	44364.59084	45547.87652	44441.79015	46478.56471	48453.19545	46789.90653	48418.22184	46605.9889	40503.4171	41267.0213	48714.495	51300.91901	49838.65173	50084.30614	42921.736	49594.76263	45322.9966	45089.92008	45413.91945	50027.32904	44677.36613	40008.50978	45565.3309	44465.21651	53193.52863	39496.70256	52426.12029	46917.48812	39120.65185	32274.3437	37706.35159	46534.24316	41172.01858	35045.07593	37189.06811	39615.93519	31543.55614	41018.0204	38225.72151	40820.50371	38431.99991	37522.66556	39028.09518	40197.83012	39797.09678	43110.86329	37407.14429	37068.42232	39143.70152	37544.75427	38783.07907	37342.8838	34938.45984	39206.72368	37992.18807	38237.16098	38453.44163	37860.95214	51554.54271	37989.07578	42717.24059	38589.22799	33687.7946	31014.65835	36687.06845	46395.87322	42529.03378	36421.45166	38225.0805	38271.63062	31305.97134	42146.37333	38147.6583	41486.73363	38805.88022	41005.87041	38621.0856	35897.3814	37115.49075	45440.1233	39592.02093	39305.79006	40867.81932	32712.69032	37205.68747	35203.5886	31009.23909	40917.98523	38584.17274	38819.46554	39981.20327	36763.9207	49423.76827	39310.76078	44326.8888	38262.51751	25585.00901	25385.32202
