frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	4.764527797698975	-54.30753707885742	-31.44265365600586	-6.735705375671387	-165.39947509765625	-37.51036071777344	354.3818054199219	50.12960433959961	-38.458106994628906	237.41477966308594	31.809663772583008	-351.5231628417969	-69.66620635986328	-20.524616241455078	-27.729049682617188	129.93917846679688	-38.31980895996094	57.82807922363281	120.3797607421875	-28.619003295898438	79.93157196044922	92.50199127197266	127.52820587158203	209.98745727539062	-84.9719009399414	-444.51513671875	-94.30882263183594	634.24853515625	-88.68762969970703	-6.968099117279053	19.46590232849121	3762.456787109375	20.323745727539062	-21.33997344970703	189.46722412109375	-43.02677536010742	3.96818470954895	38.250064849853516	2.7297003269195557	19.221824645996094	-290.0004577636719	7.198084354400635	15.058714866638184	-128.69708251953125	-26.339582443237305	-28.779827117919922	70.79055786132812	-0.05835213512182236	-43.13863754272461	-3.695788860321045	120.04039001464844	-133.46978759765625	-93.35892486572266	-32.584957122802734	-56.80012512207031	16.192707061767578	154.20217895507812	19.973718643188477	-10.549248695373535	-32.018226623535156	25.080162048339844	62.0462532043457	-831.0516357421875	37.47687530517578	-205.8074493408203	-72.04255676269531	206.3060760498047	35.621952056884766	60.86235046386719	-252.31256103515625	-43.90690612792969	42.9607048034668	23.73320198059082	55.64488220214844	254.7216033935547	17.412212371826172	-46.7957878112793	114.76105499267578	72.7576904296875	26.319049835205078	289.67498779296875	-182.45913696289062	18.479196548461914	91.52303314208984	62.09751892089844	358.2774963378906	216.29383850097656	1.4575531482696533	-62.294639587402344	157.48211669921875	-229.73675537109375	27.15184211730957	129.99807739257812	-16.441991806030273	-26.459402084350586	-19.72791862487793	-393.50726318359375	-67.55520629882812	-203.4405975341797	-36.328094482421875
20	40	37.42646026611328	86.22638702392578	89.63842010498047	22.909334182739258	-46.35979461669922	-286.07861328125	582.8776245117188	133.88839721679688	151.3140106201172	-104.2122802734375	46.32473373413086	632.0275268554688	-332.0607604980469	198.05836486816406	7.202476978302002	-3.640885353088379	84.67848205566406	147.48313903808594	146.69369506835938	50.512813568115234	-32.62342834472656	177.75535583496094	-47.040897369384766	-568.719970703125	100.11487579345703	1165.0570068359375	6803.16015625	-359.7265625	-93.39494323730469	-76.30155181884766	125.03712463378906	-12656.14453125	131.1815643310547	1098.5699462890625	193.2915802001953	183.43585205078125	69.660400390625	-23.900362014770508	137.8467254638672	-97.18921661376953	-537.5521850585938	113.42073059082031	-28.16080665588379	85.17010498046875	311.89398193359375	214.55917358398438	-38.2818489074707	16.6496524810791	50.27489471435547	96.82514953613281	279.5083312988281	-214.0358123779297	202.08407592773438	-322.3299255371094	102.01458740234375	155.5268096923828	-252.3385009765625	188.314697265625	247.2430877685547	41.281982421875	138.81300354003906	88.67980194091797	613.8107299804688	593.2900390625	-214.97369384765625	318.70965576171875	306.6722717285156	-849.2384643554688	-469.00286865234375	161.7842559814453	822.1951293945312	52.56277084350586	92.95185852050781	175.75218200683594	473.8969421386719	97.71047973632812	99.93051147460938	121.80126953125	26.1514892578125	-28.55843734741211	-184.9807891845703	-6.158649921417236	-45.51288986206055	49.370479583740234	-196.45599365234375	308.9748840332031	136.9180145263672	-445.4677429199219	53.8763427734375	120.0949935913086	-206.13046264648438	112.44171142578125	315.8773193359375	139.80145263671875	312.1247863769531	169.8602752685547	-161.6798095703125	-21.852834701538086	-44.087039947509766	489.7590026855469
40	60	285.1087341308594	386.6184997558594	748.349609375	394.6706237792969	1965.5897216796875	1336.0909423828125	131.64389038085938	456.05419921875	696.4820556640625	1344.05078125	-378.1813659667969	684.8877563476562	880.9496459960938	5265.75927734375	385.7687072753906	359.0767517089844	977.089599609375	1421.9078369140625	1553.3001708984375	778.2356567382812	899.9871215820312	838.6271362304688	554.3336791992188	-745.353515625	795.2660522460938	-238.46946716308594	-10177.3935546875	2532.02490234375	1256.3720703125	650.4204711914062	1122.4376220703125	-6761.7978515625	1045.032958984375	1274.973876953125	1919.6610107421875	1734.0181884765625	458.20404052734375	782.172119140625	1050.927490234375	1075.69482421875	1563.197021484375	1883.37890625	1262.796875	1364.8270263671875	1046.301513671875	1146.011962890625	2482.893310546875	-504.92340087890625	1265.1732177734375	1798.7650146484375	1378.9241943359375	1574.1827392578125	783.7008056640625	95.63716125488281	1625.32080078125	1860.543212890625	2643.050537109375	1626.1549072265625	1222.7198486328125	1068.5830078125	1556.5267333984375	984.1461791992188	-1109.7320556640625	1147.8841552734375	2725.524169921875	487.80010986328125	1010.76513671875	39.176605224609375	1010.838134765625	2717.543212890625	861.627197265625	481.2541809082031	1390.5107421875	484.3444519042969	92.05258178710938	1453.961181640625	1151.197998046875	1627.784423828125	1069.9697265625	1241.844482421875	820.02978515625	1920.771484375	1727.453369140625	1947.87060546875	718.672119140625	2541.048583984375	702.8119506835938	2557.905517578125	805.6702270507812	1037.6376953125	-266.27069091796875	773.6495361328125	1437.197265625	928.6398315429688	1144.22119140625	964.2830200195312	575.7039794921875	1012.979736328125	1029.57861328125	1058.38037109375
60	120	956.7404174804688	1823.3726806640625	3090.795166015625	3401.887939453125	3731.939208984375	4043.718017578125	1728.55615234375	2043.63916015625	3321.20556640625	2268.1103515625	-219.0728302001953	4572.263671875	2003.961669921875	6643.85205078125	1015.4642944335938	1039.69677734375	2992.07421875	3849.835205078125	3881.578369140625	3528.42724609375	1644.0927734375	2345.70458984375	2407.98779296875	2278.172119140625	2237.9091796875	4324.2724609375	24080.126953125	1368.89111328125	1874.2081298828125	1867.260498046875	1614.7611083984375	12750.5087890625	4547.35302734375	4720.421875	5506.55078125	5482.19873046875	2810.6494140625	2873.531005859375	4217.24365234375	4297.921875	4837.4345703125	6362.4189453125	3848.10107421875	6040.23876953125	2750.865478515625	4345.6796875	2848.474853515625	2668.448974609375	4981.8134765625	5501.02001953125	4316.6923828125	8525.2998046875	4199.9873046875	3722.421630859375	4729.10888671875	4380.93017578125	3015.59326171875	5148.1494140625	4764.396484375	4660.625	3829.260009765625	4348.2939453125	-3496.3349609375	2056.817626953125	7436.58544921875	2472.881103515625	4507.8154296875	3619.35498046875	6468.4013671875	6164.216796875	3276.727783203125	3391.114990234375	4699.04443359375	3716.84228515625	4476.82470703125	5950.50927734375	4023.232421875	5033.236328125	4700.88671875	4592.1953125	1831.89599609375	4605.91064453125	3612.41259765625	5202.35791015625	4595.20556640625	8378.4619140625	4164.5849609375	4276.96142578125	4884.42236328125	4353.34326171875	3306.682373046875	5009.5361328125	4269.83984375	4410.28466796875	4030.712646484375	4044.607666015625	3266.9306640625	2728.71728515625	8586.4921875	2956.927490234375
120	180	1721.0433349609375	2031.4071044921875	5461.6865234375	6059.677734375	6455.00146484375	6987.5859375	3239.22412109375	3766.738037109375	4641.07177734375	3214.049560546875	-703.1099243164062	2354.02734375	4237.11328125	8116.88671875	1731.704833984375	2159.83740234375	5396.587890625	5467.79248046875	6030.7958984375	6285.2314453125	4566.5205078125	4456.046875	5026.60986328125	3831.885986328125	3727.42333984375	7151.99658203125	21380.705078125	5877.02587890625	5224.9052734375	3044.976806640625	1660.7342529296875	-1018.7236938476562	8497.59375	6688.01708984375	9842.5654296875	9001.8349609375	4585.39111328125	5396.32861328125	7299.15771484375	6811.03759765625	8627.0498046875	10114.5693359375	6300.53076171875	9500.986328125	5799.25390625	7424.86181640625	4283.94140625	7446.82568359375	7872.77880859375	9116.916015625	7778.88330078125	13455.763671875	7310.12646484375	5712.99267578125	8648.970703125	7856.8603515625	5016.81298828125	8301.4267578125	7540.13134765625	7483.90576171875	6338.529296875	7457.87255859375	-6338.60546875	4720.46435546875	12670.9248046875	3388.120361328125	7603.15478515625	7594.115234375	10412.98046875	8494.1748046875	4302.53173828125	5120.859375	7940.3720703125	6979.0712890625	6721.24658203125	9768.9873046875	7341.26611328125	9475.32421875	6275.69970703125	7556.21826171875	3843.522705078125	5342.62451171875	7746.54736328125	8104.9287109375	7790.1259765625	14738.0751953125	7042.45458984375	7579.498046875	8123.5009765625	7619.2255859375	6975.96044921875	8235.0830078125	7994.37890625	7402.23095703125	6512.92431640625	6849.48974609375	4217.9326171875	5250.0078125	11406.3642578125	3981.18603515625
180	240	2132.438232421875	3413.63525390625	7366.50634765625	7644.37451171875	8481.3193359375	8796.1416015625	4852.08154296875	5368.30810546875	6225.93701171875	4507.89306640625	-843.0449829101562	7020.546875	5077.2744140625	12610.2568359375	2345.124267578125	3739.406982421875	6726.814453125	7958.75732421875	7594.0400390625	8309.45703125	5790.998046875	5526.62158203125	5615.2451171875	4623.78076171875	5642.81103515625	10513.5478515625	49801.91796875	4876.82666015625	5883.90185546875	4377.37451171875	1925.5155029296875	19843.19140625	12144.525390625	6611.5498046875	14078.0205078125	14395.763671875	11205.416015625	7438.04052734375	9948.798828125	10317.87109375	10970.66015625	14197.6103515625	9834.4091796875	12326.00390625	7858.89208984375	10222.4091796875	6007.5478515625	7760.10986328125	10932.134765625	11110.4150390625	11510.69921875	18732.794921875	10554.2353515625	8938.4833984375	10834.109375	10449.0185546875	6975.38232421875	11292.2099609375	10555.5166015625	10348.6640625	9194.3115234375	9955.2021484375	-5611.84130859375	7392.892578125	17955.998046875	4587.8916015625	9489.025390625	11626.40234375	13422.892578125	11342.8017578125	6816.11767578125	7234.46044921875	10412.8095703125	8842.7431640625	11446.08984375	12900.76171875	9801.7294921875	12286.4013671875	8874.8046875	10425.9072265625	7108.2578125	7696.58837890625	11025.625	11075.669921875	10132.3271484375	18059.4921875	10734.30078125	10468.666015625	10626.630859375	10594.1455078125	8839.0947265625	10848.9384765625	11534.3837890625	10412.173828125	8676.4208984375	9247.1142578125	-1026.132568359375	7197.330078125	16138.2265625	5488.5830078125
240	360	3216.35302734375	4827.623046875	10156.341796875	10160.826171875	11154.8505859375	11861.7705078125	8647.7529296875	7026.20849609375	8298.3095703125	6345.4453125	-1394.524658203125	11800.859375	8239.025390625	16483.3203125	3296.474365234375	4914.58984375	9597.056640625	11099.0234375	10303.0654296875	12663.138671875	6384.10888671875	8537.38671875	7739.203125	3368.6357421875	7091.12548828125	9653.794921875	26678.9296875	8926.5908203125	7951.8828125	5918.775390625	2723.85009765625	39493.15625	15669.1015625	8563.623046875	17594.953125	16915.71484375	12964.3916015625	9355.6123046875	13831.044921875	13501.8203125	15342.033203125	18391.234375	12278.8916015625	17020.33203125	10957.9658203125	14535.19921875	7922.27880859375	10998.671875	14623.02734375	15222.107421875	14982.8447265625	25773.42578125	13922.875	11809.904296875	15968.2431640625	13776.568359375	9466.6240234375	15552.0556640625	14436.947265625	13991.1337890625	12026.677734375	13002.11328125	-15667.0029296875	10705.7578125	24830.98828125	7020.142578125	14440.3134765625	15519.5263671875	18593.3203125	17567.142578125	11137.515625	10365.642578125	14375.4951171875	12775.412109375	12721.69921875	17577.31640625	13066.1171875	16590.509765625	13222.9169921875	14112.896484375	6077.43994140625	11319.392578125	13496.013671875	14558.2763671875	14623.0595703125	24238.65625	14380.345703125	14768.267578125	15574.5703125	14243.90234375	11900.2451171875	14515.1337890625	15724.8984375	14148.61328125	12737.9423828125	12728.234375	1169.30859375	8355.8955078125	20091.640625	7321.64111328125
360	480	4265.064453125	6037.93701171875	13899.9580078125	14687.4697265625	18345.107421875	17753.1171875	10112.5185546875	10174.302734375	11544.03515625	9466.1435546875	-1657.8577880859375	11366.5263671875	10218.0888671875	22280.126953125	4313.16259765625	7210.87548828125	12498.1357421875	15425.7568359375	16069.6572265625	17703.380859375	7490.3125	11498.41796875	11002.3134765625	5280.47265625	9712.4853515625	12635.12109375	52491.26953125	5418.73291015625	12841.154296875	8361.1728515625	3146.439208984375	25741.5546875	21295.541015625	13919.33203125	23965.99609375	23577.880859375	18026.275390625	13728.4208984375	18558.81640625	18207.658203125	20126.587890625	24830.65234375	16996.365234375	23130.7890625	15760.0654296875	19327.693359375	9951.4609375	16216.34765625	19842.705078125	19798.05078125	20413.8203125	33488.12109375	19307.294921875	14338.0712890625	21388.125	18684.537109375	14290.3564453125	20650.078125	19635.63671875	19214.62109375	16550.55859375	18085.900390625	-13934.8330078125	13199.4892578125	31717.439453125	10056.8232421875	19017.412109375	17968.005859375	24538.197265625	22047.921875	12193.8291015625	14695.5576171875	19697.048828125	17238.333984375	18180.544921875	23546.201171875	18348.34765625	22366.20703125	18317.904296875	19103.71484375	9345.775390625	17254.208984375	18518.42578125	18710.18359375	19963.0625	32994.20703125	19746.791015625	19449.279296875	21249.193359375	18974.076171875	16392.056640625	19991.95703125	20743.962890625	19215.05078125	17466.876953125	17470.83203125	-6263.34375	12628.068359375	26887.330078125	10252.634765625
480	600	5170.0234375	8656.7509765625	16918.4765625	17835.99609375	23982.373046875	21638.501953125	12942.0849609375	12264.068359375	14472.5712890625	12324.572265625	-808.1433715820312	14042.1728515625	12356.0908203125	24255.701171875	5012.689453125	9128.59765625	15482.4482421875	19308.1015625	21012.322265625	22842.87890625	9536.5556640625	14179.28515625	14068.9189453125	10183.712890625	11811.28515625	18858.23046875	61866.3515625	-4011.63525390625	14523.32421875	11061.556640625	3100.62890625	98546.5234375	26290.302734375	13808.3955078125	28513.59375	30091.009765625	20031.763671875	17228.578125	23451.71484375	22392.76171875	23897.697265625	30229.51953125	21121.39453125	29250.390625	19127.49609375	23525.205078125	13540.6484375	20779.3046875	23561.853515625	19573.900390625	25652.326171875	40219.578125	24692.8046875	17809.748046875	26615.3515625	23170.623046875	17406.9140625	25679.49609375	24149.552734375	24220.673828125	21270.853515625	23306.939453125	-44410.48828125	18419.71484375	35939.98828125	12730.130859375	23984.388671875	20492.806640625	29611.880859375	26789.2734375	18912.1796875	18820.578125	25197.185546875	21481.33984375	24261.94140625	29032.130859375	23466.900390625	28268.462890625	21164.646484375	23401.234375	14152.4755859375	19714.912109375	20957.232421875	18233.896484375	25931.849609375	42286.90625	25823.177734375	23887.53125	25760.955078125	24799.69921875	20944.841796875	24900.828125	26352.794921875	24866.70703125	21768.44140625	22665.466796875	-4039.6552734375	15659.9619140625	31971.630859375	12997.1259765625
600	900	6506.4189453125	11276.740234375	20843.38671875	23450.99609375	29322.806640625	28810.76953125	16519.564453125	15809.9873046875	18086.62890625	17280.380859375	-743.5399780273438	17352.873046875	16309.5791015625	29384.84375	6565.31982421875	11454.7109375	19557.82421875	24482.021484375	27931.1171875	28527.3203125	14341.9111328125	18178.392578125	17285.625	10879.392578125	16016.138671875	23171.287109375	83346.8828125	-7962.7587890625	18585.439453125	13477.6240234375	3633.3525390625	44301.36328125	32895.5703125	16557.14453125	35516.53125	37561.73046875	26628.748046875	23167.01953125	29230.337890625	28656.533203125	30031.88671875	37378.96875	26694.328125	35608.828125	24589.72265625	29673.884765625	18504.48828125	26723.2421875	29616.130859375	24125.41796875	33023.859375	49977.84375	31318.013671875	22215.2109375	33497.08203125	30122.474609375	23006.0546875	32175.85546875	30759.314453125	30909.67578125	26902.6953125	29264.26953125	-53783.37890625	22618.701171875	48481.30078125	16892.87109375	30566.1484375	28545.884765625	38007.99609375	32769.45703125	23421.96875	24922.16796875	31379.892578125	28459.873046875	29044.1875	36006.90625	28606.98046875	36405.9375	28543.310546875	29367.412109375	17464.107421875	26197.880859375	25726.17578125	22869.083984375	31763.955078125	52204.39453125	31801.68359375	30476.8359375	33034.5546875	30228.033203125	26483.46484375	31224.833984375	32252.78515625	31545.478515625	27440.294921875	29120.138671875	-4767.1064453125	20603.134765625	38509.5625	17959.955078125
