frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	-8.025984764099121	49.60891342163086	-194.63963317871094	29.267314910888672	67.15534973144531	-19.184303283691406	75.59105682373047	-171.83670043945312	4.904845237731934	33.662471771240234	-29.55110740661621	171.71534729003906	-5.081990718841553	-35.818939208984375	9.850747108459473	-59.02824401855469	-22.74818992614746	-10.630716323852539	46.396270751953125	-4.389964580535889	16.18775749206543	58.28009796142578	-111.90559387207031	241.8962860107422	23.199344635009766	-314.541748046875	1379.0447998046875	-67.0650863647461	278.13934326171875	80.4931869506836	27.858747482299805	63.13134765625	25.001827239990234	-3.560270309448242	22.97449493408203	-8.062009811401367	61.624610900878906	75.93258666992188	-7.8125739097595215	-62.61379623413086	-40.65448760986328	67.5814437866211	16.722034454345703	53.596778869628906	-67.30009460449219	33.97682571411133	-62.73129653930664	7.376700401306152	-70.6504898071289	24.43172264099121	112.63777160644531	-14.487378120422363	26.17501449584961	29.50586700439453	-1.0708649158477783	32.509796142578125	-53.180877685546875	10.703168869018555	8.06226921081543	-5.686180591583252	-0.7993508577346802	-31.633821487426758	-24.447284698486328	6.420065402984619	-56.975425720214844	-8.601248741149902	3.905872106552124	-281.7499694824219	-18.203937530517578	-38.98638916015625	52.932376861572266	19.977529525756836	-4.6859049797058105	-17.57625961303711	-90.99012756347656	-33.392093658447266	-35.79233169555664	-35.040565490722656	-52.3590202331543	0.5673559308052063	-97.5302734375	-56.29783630371094	-47.620975494384766	-2.2926082611083984	-48.12582015991211	-8.939251899719238	3.0625991821289062	40.22459030151367	-29.872535705566406	-28.265825271606445	124.21728515625	5.184543132781982	7.448887825012207	-11.525703430175781	-1.3119522333145142	-30.17852783203125	86.61583709716797	37.92747497558594	6.850032806396484	-18.21454620361328
20	40	7.905158519744873	-100.40589141845703	278.14556884765625	52.92015075683594	213.12681579589844	370.5503845214844	-68.53409576416016	252.30899047851562	71.70010375976562	342.7584228515625	37.09233474731445	227.28970336914062	-50.512123107910156	-804.9441528320312	59.86952209472656	-130.29429626464844	231.60440063476562	140.80787658691406	31.56270408630371	208.15618896484375	70.0592269897461	164.11180114746094	-208.37908935546875	88.01636505126953	-3.8004140853881836	540.772705078125	-1969.8372802734375	310.8006591796875	-161.16018676757812	164.38059997558594	382.1978759765625	160.53785705566406	122.81939697265625	-106.48967742919922	162.9471893310547	242.4711151123047	205.76763916015625	215.12860107421875	199.21873474121094	37.2614631652832	-3.0928852558135986	375.272705078125	146.0456085205078	328.47808837890625	325.99676513671875	153.7703399658203	239.8763885498047	-30.865894317626953	175.72352600097656	217.44418334960938	98.25543975830078	446.3039855957031	162.25674438476562	261.27520751953125	172.39894104003906	200.4556884765625	-319.51458740234375	175.59864807128906	137.65835571289062	252.40338134765625	232.01370239257812	180.11866760253906	141.77926635742188	-48.70393371582031	36.979644775390625	113.79029083251953	119.66678619384766	374.9210510253906	-41.77714157104492	122.73870086669922	-129.69830322265625	-80.44124603271484	113.16793060302734	187.34878540039062	264.4243469238281	280.8487243652344	167.04351806640625	255.7419891357422	-128.97064208984375	145.72265625	-48.165863037109375	447.3498840332031	209.82363891601562	158.4667205810547	320.379638671875	7.281223297119141	72.20137023925781	61.46892547607422	256.72625732421875	-95.32575988769531	387.59765625	200.1106414794922	31.361238479614258	147.91812133789062	129.84002685546875	197.7916717529297	-193.1840362548828	306.1265869140625	-186.5527801513672	241.92181396484375
40	60	235.02040100097656	313.1424560546875	1077.6944580078125	647.2040405273438	493.2557373046875	851.6367797851562	536.1482543945312	1084.9874267578125	720.3736572265625	985.2863159179688	283.9201354980469	453.232177734375	501.14373779296875	744.5493774414062	205.97335815429688	255.58348083496094	867.7110595703125	723.6299438476562	782.1295776367188	1119.406982421875	-447.0867004394531	832.9237060546875	689.5604248046875	-25.27816390991211	158.90785217285156	2889.3583984375	2132.5166015625	930.650390625	20.45734405517578	553.054931640625	1842.9215087890625	835.98486328125	1063.397216796875	804.8582763671875	631.9354248046875	2612.394775390625	205.65313720703125	495.9560241699219	987.3551025390625	1122.124755859375	739.1475830078125	1848.9090576171875	1319.8389892578125	1130.9268798828125	442.9718322753906	800.1039428710938	812.7029418945312	1178.9755859375	1037.077880859375	527.0732421875	884.8383178710938	776.0980834960938	1090.732666015625	554.6119995117188	1038.675537109375	403.6298522949219	1181.3348388671875	1212.29736328125	1052.416259765625	1261.570068359375	978.3739624023438	1003.6054077148438	1739.6414794921875	716.0678100585938	2147.478759765625	659.7651977539062	958.6937866210938	1089.1043701171875	823.6121826171875	838.7608642578125	-30.071746826171875	449.745361328125	924.6779174804688	1384.028076171875	612.195068359375	1436.4635009765625	837.8681030273438	1177.2154541015625	1035.900634765625	784.3818359375	26.233537673950195	319.43487548828125	1067.0714111328125	1192.35009765625	1240.6756591796875	1484.0447998046875	663.9708862304688	770.9810180664062	1318.664794921875	483.7381896972656	455.2826232910156	771.9005126953125	838.2392578125	936.70703125	1253.30078125	1023.752685546875	1040.3096923828125	1015.0221557617188	1408.2935791015625	883.9824829101562
60	120	959.4882202148438	1241.6806640625	3739.450439453125	2146.1728515625	2717.481201171875	2924.869873046875	1154.8583984375	1952.7122802734375	2238.2255859375	1716.436767578125	450.06439208984375	2548.705810546875	1353.3980712890625	3223.52978515625	831.8931274414062	1264.6856689453125	2747.874755859375	2000.48583984375	2313.1865234375	2834.86669921875	1438.72216796875	2299.418212890625	1929.195068359375	1503.8226318359375	1413.022216796875	4436.7890625	12005.94921875	1297.7059326171875	2512.28515625	2339.471923828125	3072.018310546875	1531.287109375	4086.771728515625	2540.1162109375	4282.8447265625	5152.267578125	2334.017578125	3054.379638671875	3073.225341796875	3427.616455078125	4166.76513671875	4920.89697265625	3334.8046875	4176.93212890625	2802.4912109375	3511.93310546875	1748.541748046875	2761.859375	3337.313232421875	4659.67431640625	4061.6572265625	4509.77587890625	4013.177734375	3131.306396484375	3929.859375	2667.13330078125	1828.9385986328125	3922.580810546875	3678.97021484375	4141.91796875	2916.422119140625	3225.746826171875	3804.7568359375	2290.914306640625	5035.7041015625	2824.91455078125	2970.577880859375	3621.966552734375	4289.92919921875	4205.12646484375	1909.4730224609375	2681.7451171875	3228.96240234375	3230.553466796875	3474.816162109375	5153.673828125	3508.608642578125	3927.33154296875	3421.736328125	3093.69873046875	2314.538330078125	2447.082763671875	3828.556396484375	3913.267578125	4276.88330078125	4885.41162109375	3627.11767578125	3204.619873046875	4495.3583984375	2760.5986328125	3746.896728515625	3924.326416015625	3717.0107421875	3916.088623046875	3252.324462890625	3485.244384765625	3366.210693359375	2671.4599609375	4365.16650390625	2760.077880859375
120	180	1534.537109375	2181.567138671875	4963.56298828125	3999.481689453125	4740.60546875	4784.5576171875	2518.571533203125	3006.786376953125	4125.47998046875	2454.65771484375	189.0820770263672	4441.82958984375	2585.917724609375	5023.19189453125	1439.8985595703125	2415.224853515625	4686.76806640625	3466.9814453125	4558.60302734375	5505.0859375	1788.1951904296875	3924.71533203125	3061.91064453125	3606.759521484375	2762.92431640625	6909.75	2482.54345703125	1498.925537109375	3523.2353515625	3420.057373046875	3067.878662109375	1537.991943359375	6925.73388671875	5089.3720703125	7604.3662109375	8607.822265625	4904.54296875	5583.69775390625	5823.3193359375	6333.93701171875	6473.55224609375	8470.7255859375	6616.51171875	7089.08203125	4531.58837890625	6240.0693359375	3060.51953125	5642.55078125	6938.86767578125	7135.72705078125	7047.14306640625	8726.3369140625	6954.244140625	5837.1689453125	7127.7802734375	5271.232421875	4397.6025390625	7342.384765625	6806.34423828125	6750.90625	5648.345703125	5984.39990234375	6814.14111328125	3763.40283203125	8955.556640625	4294.177734375	5095.10498046875	6475.2705078125	8161.90966796875	7062.86083984375	5203.81640625	4705.2109375	5731.13037109375	5705.939453125	4803.78857421875	8155.66259765625	6078.29150390625	7187.85986328125	6400.6640625	5626.169921875	4105.65625	5263.6455078125	6578.6162109375	6782.82421875	7446.56396484375	10344.68359375	6747.72412109375	5180.60595703125	7629.8662109375	5676.55517578125	5136.02783203125	7199.3896484375	6571.2900390625	7226.15283203125	5887.90185546875	5824.99951171875	6092.1728515625	4419.052734375	9399.7578125	4606.40087890625
180	240	2068.579833984375	3068.687744140625	6640.240234375	5115.98681640625	6352.876953125	6128.6298828125	3654.267578125	3886.317626953125	5146.66357421875	3421.694091796875	97.93304443359375	7159.94677734375	3047.9677734375	9208.4990234375	1903.588134765625	2936.420654296875	6242.5439453125	4592.81640625	5947.984375	7525.021484375	1813.9874267578125	4793.25830078125	4850.70947265625	265.6710205078125	3683.738525390625	11761.4306640625	4744.86962890625	1811.5833740234375	5409.16650390625	5114.60693359375	3494.98486328125	1503.12744140625	9427.9453125	6182.4736328125	9564.5537109375	11012.4521484375	7399.25537109375	7791.6630859375	7818.033203125	8818.388671875	7414.916015625	10689.1533203125	9132.052734375	9262.4990234375	6786.91796875	8561.7041015625	4094.85400390625	6899.02099609375	9387.46484375	9454.6318359375	9673.5498046875	14049.4921875	9346.626953125	8383.4140625	9506.4912109375	7180.34619140625	7607.8037109375	9522.8916015625	8709.9775390625	9312.880859375	7173.24951171875	7764.24951171875	9920.6865234375	4016.435791015625	11356.2587890625	6570.8984375	7736.591796875	7822.2333984375	9400.3642578125	9638.7783203125	6916.84033203125	6814.61669921875	7694.08154296875	7556.34814453125	7515.7890625	10567.8916015625	8079.98095703125	9268.0361328125	8104.69384765625	7338.46044921875	4094.314453125	7779.626953125	8469.662109375	10098.6865234375	10635.9404296875	12958.453125	8973.2744140625	7238.09130859375	9726.9921875	7810.03759765625	7978.93115234375	9652.9765625	9026.3525390625	9022.66015625	7522.82080078125	8300.3984375	8125.4921875	5828.96484375	12454.6328125	6387.69970703125
240	360	2698.80517578125	4672.58203125	8702.99609375	6713.74462890625	8483.2041015625	8633.443359375	5042.9501953125	5079.1669921875	6734.75439453125	5500.79296875	654.3042602539062	8190.78857421875	4600.00390625	11224.880859375	2549.08935546875	4290.267578125	7952.8408203125	6337.16748046875	8580.19140625	9520.4375	3559.24951171875	6631.5654296875	6459.71875	4806.83984375	5092.1181640625	8469.2880859375	9590.421875	1451.453857421875	6505.60009765625	6426.357421875	4052.512451171875	2589.560302734375	12361.232421875	9373.6728515625	13493.46875	14642.7626953125	9334.3076171875	10850.6572265625	10948.3759765625	11225.24609375	9544.30859375	14272.4580078125	12056.3095703125	13284.984375	9624.9287109375	10934.314453125	7271.71875	11378.96875	12423.91015625	13493.9658203125	13299.4931640625	18028.23046875	13192.6484375	10897.3828125	12926.2236328125	9712.5	9401.044921875	13261.873046875	12416.2197265625	12581.79296875	10055.505859375	10882.4853515625	12964.482421875	6452.935546875	15453.501953125	8985.5966796875	10198.75390625	10583.181640625	13216.708984375	12891.197265625	9432.2451171875	9182.666015625	10489.8076171875	10624.328125	10303.2451171875	14537.3076171875	11570.2666015625	12347.9716796875	11130.3466796875	9768.984375	7479.1025390625	11395.0400390625	12926.8173828125	12341.1796875	13264.8984375	18711.86328125	12739.458984375	10707.6728515625	12994.1728515625	10541.0546875	10712.23046875	12928.619140625	11954.248046875	12393.5537109375	10784.3056640625	11478.2607421875	12117.935546875	7527.5693359375	15037.615234375	8474.5654296875
360	480	3682.722412109375	6465.248046875	12112.4169921875	9762.52734375	11867.7939453125	12605.962890625	5755.99951171875	7442.3671875	9451.578125	8012.841796875	820.8534545898438	12475.328125	6931.8681640625	12861.189453125	3510.415771484375	6203.384765625	10731.5576171875	8972.4248046875	11522.60546875	13705.4814453125	4688.1865234375	9802.205078125	8873.208984375	6926.81591796875	6524.5390625	9609.3720703125	11664.384765625	2317.864013671875	7182.39111328125	9230.759765625	4786.14208984375	2791.4248046875	17299.11328125	12066.287109375	18276.833984375	19378.37109375	12489.15234375	14775.0087890625	14634.8359375	15369.5732421875	13940.9560546875	18914.833984375	16511.630859375	18132.849609375	13879.0146484375	15052.783203125	9966.59375	14738.3837890625	16697.984375	16523.361328125	17023.744140625	23239.09375	17493.91015625	14912.16796875	17142.966796875	13393.6494140625	13058.1494140625	17604.369140625	16263.666015625	17058.41796875	13582.412109375	14764.41015625	16808.28515625	10331.4765625	20649.7265625	12443.4384765625	13632.6669921875	15246.3154296875	16924.828125	16538.98828125	13119.2265625	12879.263671875	14325.3525390625	13957.01171875	14039.76953125	19125.671875	15760.7001953125	16730.9765625	14681.43359375	13562.083984375	10194.3212890625	14405.47265625	17940.876953125	17235.35546875	17713.384765625	26235.482421875	17437.197265625	13931.916015625	17319.00390625	15041.435546875	15567.51953125	17572.546875	16557.533203125	17053.380859375	13974.4853515625	15457.66796875	15778.9091796875	10814.4375	21852.771484375	12191.9072265625
480	600	4602.7001953125	7737.05078125	15147.0419921875	12308.0048828125	14711.9912109375	15708.6953125	8035.71728515625	9460.3017578125	11748.669921875	11234.3671875	1243.537841796875	14178.84375	8798.294921875	15992.615234375	4512.3408203125	8091.3037109375	13061.8642578125	10690.30078125	15314.259765625	16219.818359375	6356.5849609375	11156.1884765625	12001.453125	9927.47265625	8861.5361328125	10930.90234375	590.2344360351562	2578.7529296875	9457.185546875	10953.25	5512.19384765625	2976.7841796875	21677.724609375	15931.2177734375	22505.130859375	22963.93359375	16369.001953125	18017.08203125	18308.07421875	19702.4609375	18730.85546875	22680.240234375	20930.72265625	21510.310546875	16364.2421875	18660.982421875	13272.2197265625	17897.279296875	21111.166015625	20599.05078125	19853.1171875	30858.8046875	21731.69140625	17145.341796875	21106.45703125	16950.6796875	17178.94921875	21823.40625	19668.53125	20973.02734375	16845.009765625	17936.48046875	21567.572265625	11921.466796875	25097.306640625	15289.9033203125	18107.07421875	18768.306640625	21103.640625	21118.330078125	17565.271484375	15866.33203125	17518.046875	17220.044921875	17633.619140625	23497.658203125	19462.978515625	21031.109375	18812.1015625	16530.5625	13167.7841796875	19559.361328125	21499.541015625	19798.302734375	22222.91015625	30666.49609375	21490.091796875	18259.126953125	21371.78125	17720.767578125	19236.03515625	21712.505859375	20062.080078125	20582.95703125	17466.908203125	18803.599609375	18981.828125	14443.583984375	26401.787109375	15194.0556640625
600	900	6248.38720703125	9840.775390625	19084.494140625	16971.15234375	21111.1875	20854.669921875	10405.2099609375	13377.0078125	15125.9052734375	14798.669921875	1535.364501953125	20706.8125	11891.36328125	15958.833984375	6001.8232421875	10476.6572265625	16708.12109375	15028.36328125	20146.00390625	22553.43359375	8671.0986328125	15105.7060546875	16609.064453125	12516.7666015625	11689.4453125	19573.37109375	16885.71484375	3337.265380859375	14441.0263671875	15103.466796875	6863.14501953125	3854.83203125	27710.560546875	21938.646484375	29352.220703125	31067.2890625	22008.380859375	23722.46875	22907.19140625	25120.140625	23610.521484375	28730.828125	26032.53125	27572.720703125	21546.79296875	24062.55859375	17256.115234375	23458.78515625	26562.529296875	25480.48046875	26645.55859375	39642.16796875	28257.494140625	22989.607421875	26551.1640625	21634.587890625	23864.171875	27477.34375	25485.31640625	26746.931640625	21559.861328125	23443.021484375	27723.716796875	16434.974609375	32071.71484375	21055.109375	22211.58984375	22960.3828125	26483.15625	26915.025390625	20904.83203125	20884.150390625	22758.287109375	23168.16796875	23274.462890625	29523.8984375	25092.421875	27316.35546875	23395.44921875	21551.38671875	17820.55859375	25398.052734375	27499.0546875	25080.947265625	27831.736328125	39459.92578125	28130.70703125	23781.107421875	26592.052734375	23351.435546875	25163.861328125	27492.66796875	25612.1796875	26922.125	22747.73828125	24327.447265625	25693.07421875	18716.328125	33302.08984375	20583.361328125
