frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	140.4112091064453	-18.58829116821289	692.7685546875	569.0953979492188	972.2191162109375	440.29315185546875	531.8838500976562	345.17877197265625	633.25	530.7897338867188	-39.63460922241211	1310.656005859375	341.3972473144531	2897.40087890625	189.8824005126953	52.72451400756836	667.593505859375	382.6956481933594	508.1809387207031	457.9414367675781	221.342529296875	222.19122314453125	752.7404174804688	-143.43357849121094	347.2456970214844	2910.126953125	3638.67431640625	771.8090209960938	987.3349609375	469.3451232910156	1775.99365234375	329.09521484375	891.8220825195312	288.8781433105469	1004.85888671875	1665.4598388671875	416.27655029296875	193.1246795654297	616.7620239257812	732.7880859375	618.163818359375	973.1439819335938	867.236083984375	977.843994140625	216.8135223388672	410.07916259765625	280.2452087402344	463.1184997558594	734.1275634765625	336.2596435546875	543.0469360351562	884.5737915039062	745.85302734375	2334.010986328125	678.5983276367188	317.7398681640625	-1077.058349609375	598.6383056640625	511.99322509765625	590.47802734375	604.1038818359375	504.9532165527344	581.4718627929688	50.80671691894531	1101.8948974609375	391.7814025878906	623.9530029296875	30.5805606842041	1061.2396240234375	691.516845703125	-163.41175842285156	275.8412170410156	456.6011962890625	597.7921752929688	1053.39111328125	779.2359008789062	512.9263916015625	393.5741882324219	320.08026123046875	383.9728088378906	1047.8341064453125	591.0747680664062	-78.9253921508789	758.2219848632812	954.2284545898438	789.0347290039062	163.14739990234375	-869.2537231445312	410.2817687988281	604.9522094726562	1132.0050048828125	652.2685546875	511.192138671875	349.1485900878906	869.75634765625	369.5561218261719	-69.58477020263672	259.94525146484375	1603.6326904296875	675.6344604492188
20	80	543.824951171875	813.1735229492188	2006.2430419921875	1719.2586669921875	2091.346923828125	2046.147705078125	661.2327270507812	1453.3023681640625	1857.0992431640625	982.8878173828125	449.4179382324219	2341.261474609375	861.0979614257812	6864.57177734375	585.1622314453125	922.4757690429688	1924.9298095703125	1593.7197265625	2179.745361328125	2261.487548828125	536.994384765625	1843.675048828125	950.0872192382812	893.210693359375	1211.715087890625	5695.7236328125	2465.742431640625	1492.781982421875	1817.3544921875	1188.7110595703125	2752.715576171875	916.1670532226562	2255.2265625	1326.8741455078125	2657.60986328125	3370.548583984375	1734.2625732421875	1678.1322021484375	2116.005615234375	2256.78662109375	2606.505615234375	3411.798828125	2589.61962890625	3136.970703125	2137.232666015625	2069.09130859375	1276.6844482421875	585.9116821289062	2578.582275390625	2660.135498046875	3072.551025390625	4289.3818359375	2387.83203125	3720.203857421875	2916.7197265625	2091.681396484375	1222.0411376953125	2974.68408203125	2135.53662109375	2651.953125	2074.09912109375	2512.615478515625	1745.0859375	702.75	3039.27978515625	2025.89453125	2154.926025390625	2741.646240234375	2645.215576171875	2833.11962890625	1679.472412109375	1612.6561279296875	2131.81640625	1707.8720703125	1570.245849609375	2836.59326171875	2459.86279296875	2678.720947265625	2140.705322265625	2088.94580078125	915.2315673828125	1876.4132080078125	2503.515625	2274.64453125	2609.120361328125	3326.138427734375	2718.591796875	2027.0869140625	2519.53271484375	2090.468017578125	2186.640625	2449.574462890625	2626.1650390625	2576.78564453125	2377.244873046875	2388.113525390625	2609.031494140625	1079.8046875	3459.86376953125	1898.240478515625
80	140	931.5732421875	1628.7833251953125	3037.3798828125	3087.361572265625	3923.39453125	3661.94921875	902.8067016601562	2342.61474609375	2990.5654296875	2287.423583984375	73.14997100830078	2894.4951171875	2338.172119140625	9026.9560546875	950.2131958007812	1607.672607421875	2868.708984375	2611.51318359375	3184.3046875	3343.94189453125	2181.755126953125	3418.800048828125	1797.5557861328125	3051.41357421875	1619.721923828125	9217.7666015625	4380.83984375	905.710205078125	3732.31787109375	2488.369384765625	2458.568359375	1290.2412109375	4493.7470703125	3010.75537109375	4661.91748046875	5353.76318359375	2747.43115234375	3322.683349609375	3969.886962890625	4056.25537109375	5323.4794921875	5423.20849609375	4728.59912109375	4660.71875	3707.602783203125	3884.38525390625	2305.90234375	3610.460205078125	4790.75927734375	5523.00390625	5373.71826171875	6898.1943359375	5037.67578125	4720.6337890625	4910.28662109375	3918.50927734375	3207.863037109375	4791.77001953125	4515.10302734375	4836.11962890625	3665.10791015625	4203.28125	4878.9453125	2242.677734375	6554.244140625	3186.568359375	3995.414794921875	5068.3056640625	4332.36279296875	4844.77978515625	3145.990478515625	2782.18212890625	3799.63818359375	3598.767822265625	2780.845458984375	5162.7392578125	4435.37890625	5063.6259765625	4422.2421875	3622.57861328125	3272.15234375	4163.2099609375	4214.02734375	4694.14990234375	4959.2919921875	7091.8291015625	4821.5517578125	2562.0166015625	4320.3671875	4289.9775390625	4025.991455078125	4511.45703125	4383.2470703125	4758.73291015625	3916.359375	4410.52490234375	4743.09375	2937.372314453125	6861.2705078125	3105.830322265625
140	200	1287.965576171875	2234.265380859375	4235.25634765625	4001.602294921875	5029.5791015625	5156.0126953125	2691.897705078125	3188.19140625	4369.51416015625	2873.068115234375	319.0470886230469	4008.973388671875	2737.669189453125	5702.5390625	1298.122314453125	2489.586669921875	3844.41845703125	4006.153564453125	4408.6181640625	4964.5673828125	1833.4722900390625	4147.60888671875	3364.96533203125	2093.509765625	2548.968017578125	10791.2978515625	3485.99853515625	1400.3157958984375	4719.02001953125	3097.5673828125	2737.12890625	1368.123291015625	6194.2197265625	2755.87939453125	7255.54443359375	7551.93896484375	3400.146240234375	4425.3427734375	5565.29638671875	5855.85205078125	5825.87841796875	7296.06640625	6395.67822265625	6770.779296875	5330.2763671875	5598.150390625	2585.665771484375	5306.5615234375	6795.78857421875	6912.720703125	7661.6494140625	10607.2001953125	6036.03369140625	4721.99755859375	6959.5048828125	5619.48095703125	4525.7490234375	6535.70703125	5979.92578125	6553.35693359375	5352.02978515625	5722.34326171875	7992.810546875	2272.145263671875	8339.8603515625	4376.1630859375	5418.521484375	7562.43896484375	5726.203125	6196.75927734375	4290.43017578125	4338.6494140625	5193.142578125	5006.14501953125	4755.41162109375	7081.85498046875	6634.08740234375	6703.83837890625	6473.15478515625	4953.43994140625	3884.87646484375	5962.5283203125	6034.3193359375	6017.689453125	6604.2490234375	9105.693359375	5478.8486328125	7152.8583984375	5674.90380859375	6015.52734375	6093.830078125	6302.373046875	6664.52685546875	6519.7734375	5660.65283203125	6255.099609375	5878.63525390625	4320.95458984375	8109.67822265625	4345.1552734375
200	320	1796.3118896484375	3046.673583984375	5571.04931640625	5717.59912109375	7708.85791015625	7355.6650390625	2156.684814453125	3950.712646484375	5635.71142578125	4185.17529296875	57.88724899291992	5577.60888671875	3600.5400390625	11713.375	1819.6871337890625	3547.453369140625	5205.603515625	5114.443359375	6680.6494140625	7442.3759765625	2732.171875	5958.45068359375	4112.7568359375	2731.041259765625	4408.06298828125	12937.537109375	8004.91455078125	1194.90185546875	5846.65234375	4731.298828125	3243.03466796875	1596.0821533203125	8473.03515625	5661.95703125	9414.353515625	9531.7255859375	4809.42041015625	6781.462890625	7585.99658203125	7464.83984375	7308.4462890625	10166.1923828125	9322.412109375	9274.0244140625	7825.06298828125	7528.3681640625	4189.5283203125	7333.1865234375	9287.0654296875	9866.376953125	9884.2314453125	13524.2314453125	9112.771484375	8321.9921875	9283.8779296875	8234.9501953125	6689.7998046875	9394.3740234375	8443.818359375	8783.9912109375	7390.30615234375	8190.38671875	10360.7353515625	4605.8583984375	12328.3359375	6032.71044921875	7750.7236328125	7909.01416015625	8580.23046875	9671.150390625	7921.0009765625	5874.09228515625	7280.0888671875	6951.630859375	7778.845703125	9655.50390625	8497.123046875	9515.1748046875	8921.83984375	6905.125	5726.58447265625	8685.3447265625	9151.7392578125	7880.27734375	9268.619140625	13149.1416015625	8352.138671875	7425.14306640625	8630.6533203125	7840.39111328125	7426.42724609375	9112.240234375	8021.62744140625	8909.8896484375	7928.4140625	8253.15234375	8836.1015625	5591.57568359375	11967.1376953125	5924.49462890625
320	440	2490.165771484375	4398.3876953125	7653.0439453125	7833.046875	10504.119140625	10600.564453125	3363.07421875	5935.83837890625	7803.783203125	6493.9677734375	548.8609619140625	7504.56787109375	5116.62646484375	9591.0703125	2491.56591796875	4578.8466796875	7102.9345703125	7258.974609375	9780.0107421875	9570.568359375	3986.38720703125	8451.9013671875	7305.57470703125	7198.44970703125	5488.17138671875	18807.4453125	8026.6708984375	1763.96044921875	8095.67822265625	6361.3583984375	3891.98193359375	1792.833984375	12600.59765625	8518.314453125	13978.35546875	14451.47265625	7178.33056640625	9664.1259765625	10247.7763671875	10161.107421875	11386.3505859375	14040.4287109375	13116.7734375	12851.38671875	10561.751953125	10483.4658203125	8322.3427734375	10706.482421875	12763.408203125	11902.2568359375	13780.0458984375	19742.857421875	12804.484375	12257.6572265625	13080.701171875	10698.076171875	10702.072265625	13258.6123046875	11517.8857421875	12599.1005859375	10475.56640625	11595.279296875	15384.404296875	5878.1572265625	15838.078125	9083.8759765625	11240.7509765625	13634.78125	12768.99609375	12069.595703125	9633.4375	8730.880859375	10269.3271484375	9420.2783203125	10252.6708984375	13573.1884765625	12256.517578125	13146.96484375	13040.5390625	9875.6552734375	9266.07421875	10945.0205078125	12288.1416015625	11123.98046875	12766.9345703125	19743.087890625	12335.20703125	10992.6513671875	12546.326171875	12159.876953125	11038.9697265625	12540.2451171875	11993.830078125	12501.5390625	10977.5947265625	11084.1455078125	11353.5791015625	7626.33837890625	18273.22265625	8519.591796875
440	560	3235.49462890625	6378.2421875	9586.611328125	9960.142578125	13532.33984375	12698.513671875	5979.0537109375	7966.82177734375	9481.3115234375	8852.306640625	236.36106872558594	10153.244140625	6952.58837890625	26674.02734375	3256.380615234375	6221.20654296875	8840.0087890625	9249.3955078125	13047.291015625	12966.728515625	5493.619140625	10747.7216796875	8994.01953125	8713.4033203125	8016.83984375	22225.068359375	7719.783203125	2086.90771484375	10041.802734375	8514.9521484375	4678.3056640625	1907.1934814453125	16326.8564453125	12141.8212890625	17716.716796875	19176.712890625	11065.9375	12448.58984375	13305.7197265625	13391.4853515625	13924.2734375	17830.275390625	16718.423828125	17087.076171875	14059.58984375	13773.1376953125	9743.7802734375	13032.3447265625	16864.3359375	15700.44140625	16942.134765625	24733.6640625	16006.3720703125	13789.19921875	16484.4453125	13804.904296875	12704.306640625	16528.193359375	14905.3408203125	16012.662109375	13277.0126953125	14406.6171875	19949.083984375	8015.626953125	22214.00390625	11053.2255859375	15025.3330078125	14299.9404296875	16668.7109375	16042.302734375	12982.4150390625	11244.666015625	12850.98828125	12199.1025390625	14447.7958984375	17088.8984375	16075.19921875	16489.45703125	16060.021484375	12670.5380859375	11276.7294921875	14296.5439453125	15390.474609375	13430.1396484375	16831.025390625	24474.53125	16297.4384765625	14293.1630859375	15972.4169921875	15127.4033203125	14795.5009765625	15058.3916015625	15128.3076171875	15760.2470703125	13681.044921875	14691.158203125	15996.0498046875	9535.2841796875	23481.51953125	10713.931640625
560	860	4802.939453125	8464.1796875	12963.3994140625	14174.0693359375	18993.0859375	19399.89453125	6176.85400390625	11381.5751953125	13273.6689453125	12194.98828125	768.4481201171875	12720.314453125	10442.6552734375	20854.939453125	4782.7080078125	8581.4189453125	12098.767578125	13538.8330078125	18642.794921875	18086.955078125	7641.5283203125	14335.228515625	13199.263671875	14473.0673828125	10741.21875	23227.60546875	5143.296875	2166.2587890625	13298.123046875	11582.1904296875	6200.5517578125	2930.364501953125	21529.501953125	17343.044921875	21812.876953125	24591.0078125	15129.2177734375	16966.095703125	17961.373046875	18297.990234375	19208.416015625	23876.7109375	22536.953125	23203.2265625	19527.6953125	18080.375	13078.3525390625	20107.884765625	21841.69921875	19053.736328125	22251.021484375	33493.5546875	22467.40234375	19680.142578125	21922.912109375	18930.875	20009.990234375	21897.255859375	20326.005859375	21305.693359375	17900.44921875	19534.685546875	24478.99609375	11640.0029296875	29450.865234375	15758.931640625	19734.8046875	18761.27734375	22504.64453125	21494.650390625	18181.3125	15617.4736328125	17576.6015625	16731.6171875	18933.076171875	22514.24609375	21507.943359375	22283.03515625	21321.40234375	16794.501953125	15015.83984375	20370.201171875	21612.845703125	18774.625	21927.7890625	34413.3984375	21642.412109375	19263.900390625	20600.400390625	20478.1171875	18862.453125	21388.744140625	20759.177734375	21282.24609375	19077.87890625	19515.55078125	20848.49609375	13712.203125	30283.4609375	15665.6904296875
860	1160	6488.78076171875	11467.59375	17079.34375	19869.359375	26444.103515625	25872.70703125	10767.9833984375	16098.943359375	17067.220703125	17425.349609375	805.359130859375	21741.314453125	14819.3857421875	30034.64453125	6563.3125	11697.046875	15827.603515625	18818.947265625	26069.642578125	25462.66015625	11511.580078125	18774.638671875	19999.529296875	18848.66015625	15429.9677734375	29165.931640625	14605.6044921875	2641.36865234375	16663.265625	16257.68359375	7415.50439453125	3742.23193359375	27265.828125	24485.482421875	28467.20703125	32625.26171875	22011.361328125	21982.8984375	23258.435546875	24758.5390625	26238.470703125	30199.0078125	29413.708984375	30011.345703125	26833.9296875	23532.974609375	18697.59765625	26734.529296875	27503.76953125	23989.275390625	28629.828125	44105.375	29158.005859375	26819.783203125	27582.1640625	24654.24609375	26996.880859375	27736.375	26312.2109375	27787.375	23595.58984375	25546.96484375	31827.740234375	16773.818359375	39648.23828125	22114.37109375	25978.787109375	24868.798828125	28496.869140625	27077.904296875	25308.44140625	20449.197265625	23059.55078125	22570.1328125	24425.875	28721.91796875	28762.951171875	29473.0078125	28088.419921875	22209.908203125	20364.875	27088.87890625	27874.7109375	24297.322265625	28729.1015625	43661.375	27927.39453125	25231.234375	26579.546875	27356.32421875	26058.2890625	28098.220703125	26087.251953125	27551.953125	24881.490234375	25682.515625	28376.296875	18406.115234375	39383.0234375	22590.96484375
1160	1760	8658.958984375	15208.544921875	20219.994140625	26766.78515625	34734.37109375	35429.14453125	12724.0673828125	21443.826171875	20886.7734375	24465.69140625	921.3139038085938	26744.138671875	19792.697265625	28888.0390625	8721.0673828125	15105.2880859375	19075.396484375	25000.62109375	34833.63671875	34543.94140625	14777.6865234375	23650.64453125	27041.369140625	29436.380859375	20426.4453125	38978.7734375	15676.517578125	3046.30810546875	20162.890625	21551.91796875	9275.822265625	4665.59521484375	33134.33203125	29501.576171875	33182.96484375	38400.94921875	27884.2578125	27466.626953125	27617.39453125	30406.712890625	31145.974609375	36350.0703125	36341.54296875	35902.7265625	33450.55078125	28481.69921875	24174.4140625	31800.248046875	32776.1484375	28029.05859375	33568.03515625	52763.7890625	35402.5	33199.51171875	32480.833984375	29963.11328125	36054.25390625	32705.85546875	31292.404296875	33443.82421875	29112.8203125	30480.83984375	37939.2109375	22286.39453125	47469.921875	28576.2109375	29997.521484375	32658.54296875	32325.41015625	32692.291015625	33603.37890625	25178.08984375	27675.998046875	27795.90625	30164.927734375	33624.12890625	35737.484375	34917.4375	34314.09375	26849.16796875	28034.904296875	32820.4609375	32867.37890625	28392.83203125	34336.1484375	52547.22265625	34491.203125	31090.447265625	31986.31640625	32747.529296875	31371.90234375	33313.71484375	30881.15625	32754.681640625	30109.52734375	30565.591796875	33254.43359375	25467.99609375	48123.390625	28695.7109375
