frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	0.3171353340148926	-34.15548324584961	0.007416134234517813	14.410396575927734	-101.0599365234375	38.599021911621094	-46.63633346557617	3.819711685180664	-25.259952545166016	-37.14459228515625	-25.774600982666016	-89.90606689453125	-13.123430252075195	-127.5860366821289	-20.929210662841797	-21.855178833007812	-8.367138862609863	38.46684646606445	127.97357940673828	-10.977880477905273	85.37650299072266	-85.83503723144531	167.502685546875	2.020754814147949	127.47550964355469	-336.2904052734375	-240.5650634765625	57.82583236694336	-0.6849498748779297	-48.63970947265625	-8.130162239074707	-100.06027221679688	34.22169876098633	81.24616241455078	-67.21854400634766	-56.4644660949707	-80.88182830810547	-17.883525848388672	-16.841941833496094	-44.2503776550293	-146.9501495361328	-61.36180114746094	-49.48868179321289	-42.15978240966797	-40.637351989746094	47.61708068847656	70.432861328125	71.05084991455078	20.64179801940918	-31.463769912719727	-14.1966552734375	117.65787506103516	0.9258939027786255	-227.57069396972656	0.3297504484653473	5.956027507781982	38.56221008300781	5.907742500305176	37.463294982910156	47.700374603271484	-3.8857998847961426	4.312529563903809	60.16352081298828	3.2618250846862793	-180.88531494140625	-79.86681365966797	97.52576446533203	149.1881866455078	-64.01162719726562	43.24747085571289	-81.78376007080078	-5.762295722961426	-4.213417053222656	5.236371994018555	-52.769256591796875	-55.27647018432617	13.708192825317383	-12.60740852355957	-35.18400573730469	-8.147947311401367	52.1737060546875	66.76831817626953	-23.44215965270996	-34.15415954589844	-48.92573928833008	-18.546411514282227	-89.84542083740234	-27.023693084716797	-8.243603706359863	17.223621368408203	-31.75790786743164	-39.53791046142578	-27.739639282226562	-37.40897750854492	-7.722143650054932	-25.779298782348633	-17.017284393310547	-105.7965316772461	56.27030563354492	-13.830586433410645
20	40	75.54268646240234	8.280515670776367	37.01331329345703	71.95304870605469	166.97906494140625	203.79156494140625	40.735107421875	44.858707427978516	172.23086547851562	208.2465057373047	129.4235382080078	193.9304656982422	193.10667419433594	-285.71209716796875	60.71961212158203	14.456267356872559	87.06549072265625	103.82020568847656	242.29103088378906	-21.736406326293945	-87.47002410888672	28.63102149963379	343.3614196777344	139.96910095214844	237.4080810546875	209.57705688476562	304.7878112792969	188.552734375	66.37057495117188	128.31370544433594	137.2486114501953	25.883493423461914	132.4454345703125	82.05339813232422	-35.29889678955078	259.2674865722656	92.23954010009766	11.407731056213379	96.030029296875	137.09507751464844	-147.40699768066406	116.24928283691406	100.06059265136719	129.86294555664062	34.58418273925781	68.27500915527344	-173.91250610351562	-175.0718994140625	46.26607894897461	-18.098819732666016	-84.28533935546875	129.41184997558594	93.54768371582031	114.87103271484375	52.91938018798828	-102.0676498413086	-96.60957336425781	29.684663772583008	299.3089904785156	138.59747314453125	101.31389617919922	126.8898696899414	-69.23736572265625	272.3310241699219	313.6796569824219	22.72025489807129	20.156360626220703	165.64137268066406	197.99371337890625	82.59516143798828	-6.365800857543945	127.02019500732422	56.654022216796875	58.328006744384766	422.66455078125	148.2014923095703	147.70477294921875	109.88017272949219	150.9189910888672	49.80854797363281	148.9345245361328	594.2141723632812	201.9398651123047	171.54100036621094	85.34063720703125	-31.863840103149414	-115.01764678955078	317.5909729003906	-90.71658325195312	164.86468505859375	43.39525604248047	58.29521942138672	105.00283813476562	72.31472778320312	94.4052963256836	78.8660888671875	205.88160705566406	14.628376960754395	61.069149017333984	111.09642028808594
40	60	855.9352416992188	914.9681396484375	1252.3948974609375	1271.2930908203125	1671.68115234375	1129.9134521484375	-113.50142669677734	1070.9649658203125	1395.436279296875	1243.375244140625	463.7247619628906	2414.776611328125	875.5382080078125	926.5949096679688	862.5740966796875	633.3413696289062	1292.62744140625	1195.3115234375	1530.254150390625	1451.3245849609375	490.85858154296875	1266.55908203125	1103.0355224609375	2036.5673828125	1017.1488647460938	-154.89474487304688	247.5471954345703	1072.0826416015625	1204.1917724609375	1145.95703125	1685.2469482421875	751.6771240234375	1843.1817626953125	1501.6123046875	1551.8756103515625	1641.7222900390625	1285.0777587890625	1144.28515625	1232.7017822265625	892.8668212890625	1527.55908203125	1236.9049072265625	1571.0245361328125	1294.3507080078125	1073.005859375	1213.818603515625	799.7378540039062	1462.62353515625	1771.2686767578125	1250.9122314453125	1488.2196044921875	1416.9869384765625	829.239990234375	1209.30859375	1380.7535400390625	1598.61572265625	1199.5035400390625	1368.21533203125	2242.797607421875	1104.9859619140625	1461.4632568359375	1492.908935546875	1519.0511474609375	1661.627197265625	2419.13427734375	1866.6273193359375	1870.72802734375	2409.030029296875	2073.294921875	1262.5858154296875	1302.794921875	1170.457275390625	1288.9530029296875	1260.48046875	938.16064453125	1211.711181640625	1517.9969482421875	1212.43359375	1156.7164306640625	1284.777587890625	1212.2005615234375	906.3014526367188	1248.2305908203125	1376.2406005859375	1577.1077880859375	1828.781982421875	550.2537231445312	1807.7864990234375	1427.0394287109375	1403.962158203125	1681.92919921875	1300.7174072265625	1603.6461181640625	1425.0377197265625	1461.395263671875	1161.290771484375	1041.1107177734375	784.6128540039062	2361.409423828125	1300.536865234375
60	120	4397.98583984375	4307.85107421875	5858.4189453125	5387.83837890625	5745.4462890625	5667.6748046875	4268.912109375	4374.61669921875	5349.97509765625	5019.21826171875	2678.61669921875	4835.3369140625	4054.478271484375	3331.804443359375	4351.27587890625	4313.8037109375	5836.02978515625	5393.8896484375	5614.84521484375	5844.61376953125	4328.20703125	5439.66455078125	5531.28564453125	6335.4443359375	4517.77587890625	4751.01025390625	2446.9716796875	2760.034912109375	5673.60595703125	4454.6142578125	6451.8623046875	1760.8824462890625	7256.04052734375	6267.83740234375	6960.044921875	7111.1875	5826.94970703125	5852.82861328125	6304.3837890625	5316.9365234375	6557.384765625	6420.2060546875	6969.17626953125	6627.99658203125	6576.5712890625	5984.5810546875	5375.0595703125	5426.3447265625	7736.0224609375	6928.96630859375	7877.49609375	6394.22509765625	6770.29150390625	6632.70849609375	6946.78857421875	6123.3212890625	6734.5615234375	6877.4453125	6813.99560546875	6363.1123046875	6561.974609375	6535.818359375	6250.5234375	4630.8564453125	8971.9814453125	6677.00439453125	7092.51806640625	7863.626953125	6433.9130859375	7109.08203125	5166.02587890625	5452.583984375	6096.84521484375	5442.51171875	5886.9658203125	6440.62939453125	6642.2119140625	6864.42626953125	6210.57958984375	5768.89990234375	5009.669921875	5580.22119140625	7515.115234375	6735.025390625	7316.0830078125	7120.66259765625	6579.7890625	6111.1044921875	6786.98828125	7323.630859375	7133.65576171875	6505.78857421875	7131.68994140625	6602.28955078125	6985.3154296875	6491.3359375	5879.203125	4228.6298828125	9156.765625	6548.2724609375
120	180	7901.60498046875	7721.11181640625	10190.1328125	9620.162109375	10272.6611328125	10307.6552734375	7002.22314453125	8006.80078125	9268.2900390625	8389.22265625	4417.20458984375	11128.146484375	7470.146484375	5093.3388671875	7877.04833984375	7080.2587890625	10099.587890625	8927.2314453125	9648.5869140625	10510.5673828125	7739.94580078125	8837.47265625	8483.4765625	9127.6552734375	7583.96875	6266.95556640625	3903.308837890625	3785.51171875	9785.1708984375	8209.9423828125	10876.845703125	2338.084716796875	12874.7568359375	10691.646484375	11260.8330078125	12744.28125	9965.720703125	10100.908203125	10938.3369140625	9883.6826171875	10298.6328125	11444.4755859375	11852.447265625	11636.708984375	10916.9619140625	10552.6259765625	10184.181640625	9945.0830078125	13878.986328125	12029.6611328125	13009.7958984375	13106.7138671875	11467.11328125	11019.6953125	12469.375	11462.0703125	11704.2138671875	11943.189453125	12089.7734375	11244.603515625	11307.4130859375	11517.9326171875	10218.9033203125	7338.5634765625	15270.904296875	10682.380859375	12858.0419921875	10880.263671875	11818.5791015625	12506.734375	10441.3310546875	10121.5654296875	10885.380859375	9610.203125	11076.2783203125	11360.5654296875	11948.05859375	12327.6884765625	10836.0732421875	10512.841796875	9269.8232421875	10129.5791015625	13151.9404296875	11457.833984375	12792.4169921875	12854.0634765625	11227.0927734375	11092.890625	12097.75390625	11867.6435546875	12002.849609375	11637.6904296875	12365.6259765625	11174.2978515625	11720.94921875	11146.6455078125	10481.755859375	8162.17626953125	15038.8330078125	11498.396484375
180	240	10398.5107421875	9795.828125	13214.927734375	11962.671875	13747.6318359375	13486.8837890625	9160.814453125	10027.0126953125	12803.30078125	10918.134765625	5646.32958984375	16854.76953125	10301.873046875	8579.6220703125	10434.5595703125	9559.087890625	12948.091796875	12033.912109375	12567.6220703125	14637.4951171875	8503.3955078125	12074.013671875	12041.2392578125	12582.02734375	9662.5517578125	8337.8173828125	4332.63671875	4973.4482421875	12948.6630859375	10761.587890625	14220.568359375	3097.712890625	17362.490234375	15027.96875	15720.880859375	17787.322265625	12658.84765625	13612.3486328125	14472.921875	13033.6240234375	14752.8017578125	15136.9931640625	15124.142578125	16000.3525390625	13974.8369140625	14047.8154296875	14395.994140625	13175.6181640625	17690.970703125	14553.2412109375	16720.544921875	16718.45703125	15786.271484375	14062.228515625	16192.6875	15034.86328125	15079.728515625	15764.3125	16345.62109375	14517.4072265625	14966.494140625	14575.4697265625	12806.4833984375	11153.865234375	19328.1328125	14018.6103515625	15807.17578125	14929.0888671875	16141.33984375	16677.7890625	12118.9140625	13274.2294921875	14074.4521484375	12780.685546875	13979.5517578125	14922.791015625	15122.787109375	16276.701171875	14612.208984375	13997.546875	11094.921875	12407.18359375	17147.158203125	15281.0849609375	16860.916015625	16424.482421875	14391.3740234375	13892.2607421875	16832.548828125	15406.5712890625	14891.0791015625	15125.810546875	15979.662109375	14507.68359375	15453.8916015625	14438.1484375	13923.0419921875	10291.7666015625	19976.30078125	15023.1494140625
240	360	13533.56640625	13031.025390625	16974.224609375	16210.3671875	17415.01953125	17312.744140625	13226.1845703125	13581.2216796875	16180.353515625	14184.1181640625	6976.857421875	18913.1640625	12903.6103515625	10142.91796875	13439.07421875	12529.6552734375	17108.43359375	15478.0712890625	16835.54296875	18800.615234375	12406.359375	15652.5087890625	14776.9951171875	16051.1474609375	12676.0595703125	11746.3251953125	5775.7392578125	6509.17529296875	16164.3857421875	14050.5712890625	18254.12890625	3512.50146484375	21936.6015625	18895.501953125	19923.521484375	21316.896484375	15967.4580078125	17930.490234375	18555.51953125	17193.23828125	17581.2890625	19676.10546875	20469.6640625	20356.65625	18392.234375	18077.419921875	16538.1328125	18495.59765625	22440.705078125	19716.447265625	21285.837890625	22267.7421875	19703.98828125	18188.970703125	20962.908203125	19818.11328125	18593.236328125	19902.017578125	20315.49609375	18804.99609375	19361.16015625	19514.57421875	17590.943359375	14196.4306640625	25333.6484375	18394.330078125	20730.802734375	19197.544921875	20971.6015625	22099.638671875	16138.240234375	17459.126953125	18730.01171875	16747.28125	19301.130859375	19676.89453125	19103.326171875	21096.0234375	18955.255859375	17906.8125	14885.814453125	18700.5625	22436.71484375	18876.9453125	21893.98828125	21942.416015625	19082.94921875	18503.521484375	20001.42578125	19709.068359375	19888.396484375	19711.365234375	20303.001953125	18866.73828125	19869.591796875	18901.513671875	17019.8828125	13952.1533203125	25046.169921875	19364.29296875
360	480	17014.970703125	16535.693359375	21454.7890625	19969.572265625	21839.5546875	21299.232421875	17397.158203125	16913.982421875	19846.4375	18633.919921875	8861.7216796875	23773.3671875	17271.734375	10994.2197265625	17192.751953125	16100.9208984375	21025.068359375	20084.376953125	22124.380859375	24146.31640625	15865.9404296875	19450.951171875	18643.73828125	20930.587890625	15955.4052734375	13994.669921875	7057.5966796875	7554.73291015625	19794.228515625	17660.994140625	22621.412109375	4549.90966796875	27831.623046875	22409.69140625	24924.087890625	28219.693359375	20677.328125	22924.48828125	23194.51953125	21623.9296875	21858.697265625	24240.82421875	24495.7109375	25305.28515625	23226.037109375	22730.357421875	21724.701171875	21341.0546875	27408.044921875	24332.193359375	26509.14453125	27166.708984375	24602.58984375	22916.86328125	25936.890625	23983.830078125	23421.126953125	24765.140625	24732.4140625	23963.41796875	24106.33203125	23895.333984375	20576.82421875	17282.56640625	31345.8203125	23656.87109375	25914.939453125	23712.337890625	25862.580078125	26574.423828125	20918.75390625	22251.86328125	23375.259765625	21084.05078125	23470.8359375	24088.060546875	24250.201171875	26190.927734375	23393.357421875	22459.32421875	20596.5078125	21217.8046875	27069.18359375	23791.060546875	26731.783203125	26826.568359375	24379.853515625	22053.720703125	25424.470703125	24794.849609375	24292.484375	24167.01171875	24378.15625	24071.56640625	24797.1328125	23374.6953125	21407.41796875	18613.6953125	30886.9375	24465.71484375
480	600	19493.908203125	18887.052734375	24212.962890625	23977.369140625	25852.787109375	25679.3828125	19485.20703125	20547.17578125	22617.66015625	21862.29296875	10063.251953125	26069.013671875	20246.43359375	12268.19140625	19388.314453125	18317.185546875	24075.376953125	23135.66015625	24419.70703125	27534.939453125	18334.009765625	21883.865234375	21454.212890625	25029.4140625	19362.72265625	15325.4833984375	8162.48046875	8534.7705078125	23463.857421875	20448.486328125	25257.958984375	5448.646484375	31787.05078125	26588.900390625	28029.4609375	31148.837890625	22348.287109375	26156.595703125	26605.96875	24579.806640625	25118.431640625	26926.720703125	27268.3046875	28594.560546875	25525.3671875	25698.46484375	24146.625	23278.1875	31172.8515625	26086.837890625	29018.271484375	30833.63671875	27486.44921875	24986.38671875	28492.4765625	27568.689453125	27345.236328125	28471.0390625	27111.580078125	26718.53125	27493.318359375	27216.431640625	23384.408203125	19989.9609375	34820.3515625	26637.77734375	29732.513671875	26180.22265625	27277.1796875	30132.849609375	23713.421875	24794.95703125	26068.40234375	24173.865234375	26881.27734375	26692.48828125	26724.708984375	28738.8203125	25896.802734375	25349.005859375	21659.03515625	24737.5390625	30325.87109375	26149.267578125	29366.408203125	29820.478515625	26947.40234375	25888.6796875	27625.5234375	28282.55078125	27206.31640625	26846.84375	27656.59375	27381.544921875	27762.607421875	26488.0390625	23390.615234375	20631.021484375	34785.45703125	26798.05078125
600	900	22059.6953125	21747.81640625	27428.548828125	28808.271484375	30735.732421875	30292.111328125	23423.310546875	23369.568359375	26717.912109375	25832.212890625	12024.232421875	30733.833984375	23475.80859375	14034.21484375	22082.78125	21112.04296875	27127.6796875	27774.955078125	28681.64453125	33291.64453125	22676.14453125	24860.591796875	26108.267578125	29907.66796875	22699.75	17278.021484375	8855.6484375	9524.810546875	25548.96875	24365.171875	28042.658203125	6453.77294921875	35340.5859375	28582.150390625	30019.685546875	34263.24609375	26423.771484375	29566.201171875	29704.31640625	27934.888671875	28275.955078125	30233.236328125	31169.10546875	31333.43359375	29346.333984375	28920.314453125	27855.029296875	26140.908203125	33756.88671875	28702.2890625	31834.806640625	34006.51953125	30878.10546875	28371.744140625	30691.158203125	30561.75	30892.80859375	30803.595703125	30617.05859375	29991.591796875	30509.9921875	30895.599609375	26003.30859375	23112.439453125	38185.07421875	30879.57421875	32407.666015625	29714.0859375	31457.83984375	33890.37109375	27416.044921875	28550.333984375	29134.015625	27436.5234375	29664.63671875	29823.865234375	29579.880859375	32735.408203125	30074.423828125	28723.150390625	25690.01171875	28095.025390625	33581.875	28936.125	32380.306640625	34624.359375	29103.107421875	29263.6875	30386.232421875	31920.478515625	31786.62890625	30107.419921875	30274.818359375	29769.9296875	31434.64453125	30132.12109375	26723.35546875	23663.015625	37598.75390625	31346.5390625
