frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	-6.229039669036865	-20.164133071899414	-4.250141620635986	-0.11926931142807007	-121.79986572265625	86.52908325195312	-53.357391357421875	-21.431182861328125	14.594022750854492	-24.403722763061523	27.230661392211914	-321.7098693847656	-55.71458053588867	-1252.9156494140625	-35.41034698486328	-1.427929401397705	-7.909545421600342	25.45159339904785	201.2343292236328	-12.91552734375	23.513519287109375	-138.6110076904297	251.18910217285156	-147.10255432128906	191.70233154296875	-704.9314575195312	-1216.486572265625	125.4996566772461	-115.49471282958984	-38.938045501708984	33.692325592041016	-161.54464721679688	84.98017120361328	188.0186004638672	-94.74909210205078	59.56812286376953	-307.7298889160156	21.18391227722168	-46.394737243652344	-18.520139694213867	-279.3046875	-138.1007537841797	-62.0618782043457	-68.68343353271484	-24.71002769470215	53.05720138549805	89.51359558105469	290.59552001953125	7.932852745056152	-93.20336151123047	-7.312854766845703	193.724853515625	161.6417694091797	-439.2548828125	11.349833488464355	6.752753257751465	19.571165084838867	23.65654754638672	50.28632354736328	23.90644645690918	1.7817978858947754	16.328773498535156	72.49502563476562	64.86358642578125	-455.3146667480469	-187.85801696777344	200.38824462890625	267.0235595703125	-218.8018035888672	63.47636795043945	81.0266342163086	-20.65233612060547	-20.46537208557129	10.183234214782715	-120.48672485351562	-39.037967681884766	50.697261810302734	-69.67720794677734	-45.13861846923828	-1.441162109375	-20.248220443725586	224.3071746826172	45.5944709777832	-22.37590217590332	-104.984375	43.689483642578125	-201.920166015625	-67.81936645507812	20.20215606689453	21.44560432434082	-112.79938507080078	-51.535987854003906	-49.49054718017578	-31.05615997314453	-28.16559410095215	47.98158264160156	-52.761756896972656	-166.2655029296875	238.58502197265625	-39.650062561035156
20	40	67.4937515258789	29.870359420776367	20.083423614501953	46.80328369140625	255.1796417236328	203.10763549804688	-84.53984069824219	42.28056335449219	151.6775360107422	279.3435974121094	153.66085815429688	-115.6950912475586	303.6059265136719	-1368.14892578125	31.944580078125	37.30297088623047	82.3728256225586	54.39305114746094	267.7603759765625	-101.36392974853516	-118.29007720947266	-7.469086647033691	421.1136474609375	-65.27548217773438	270.52349853515625	1153.939453125	-536.2951049804688	438.6432800292969	170.27529907226562	52.6929931640625	203.76353454589844	30.767404556274414	82.5138931274414	400.7667541503906	-352.8437805175781	492.8548278808594	204.5885467529297	-56.1561279296875	112.39338684082031	169.4840850830078	-71.02204132080078	150.48321533203125	160.5538330078125	157.0087890625	-121.44937133789062	20.80554962158203	-506.65606689453125	-568.8560791015625	161.7051239013672	-26.191219329833984	-220.3193359375	-18.632617950439453	75.5890884399414	231.80787658691406	137.51844787597656	-253.64337158203125	-364.9455261230469	30.856468200683594	535.2833251953125	125.09679412841797	137.77928161621094	38.91372299194336	-474.8838195800781	396.8204040527344	514.5628051757812	-107.74299621582031	-88.1351318359375	189.50506591796875	448.0196533203125	21.296159744262695	-227.73231506347656	109.0208511352539	26.787832260131836	84.24429321289062	379.8356018066406	206.85836791992188	192.50262451171875	105.2083511352539	387.8724060058594	86.2790756225586	17.735248565673828	1565.465087890625	324.01763916015625	259.9698486328125	122.92407989501953	-161.84681701660156	-221.5034942626953	561.0515747070312	-345.11285400390625	335.7483215332031	3.2939505577087402	131.3829345703125	25.85100746154785	38.97843933105469	146.90977478027344	105.01482391357422	275.2572021484375	-4.546752452850342	10.130921363830566	204.35519409179688
40	60	384.74041748046875	730.1106567382812	1376.67724609375	1458.7650146484375	2243.142578125	1401.0098876953125	-322.6225280761719	1016.2868041992188	1991.7442626953125	622.2573852539062	-34.949275970458984	3604.056640625	803.8466796875	5391.75830078125	376.55633544921875	295.27227783203125	1459.822265625	1418.6383056640625	2217.952392578125	2100.640625	520.98779296875	1562.542236328125	791.9548950195312	2298.008544921875	1039.5458984375	-843.7999267578125	-3781.103759765625	1851.1253662109375	869.73779296875	1102.0003662109375	2284.88330078125	727.5926513671875	2648.47412109375	1173.669189453125	2632.936279296875	1928.5489501953125	1146.3226318359375	1344.213623046875	1730.991943359375	1115.7794189453125	1229.3138427734375	2098.58935546875	2409.711669921875	1836.2716064453125	857.062744140625	1557.013427734375	-245.80238342285156	2525.5537109375	2585.5849609375	1963.0611572265625	2055.449951171875	2744.28564453125	608.1509399414062	502.4078674316406	2076.411376953125	2046.4654541015625	1242.3692626953125	1880.8541259765625	3657.15673828125	1342.10986328125	2080.19873046875	1961.4892578125	2215.368408203125	1897.138671875	4720.66650390625	2180.947265625	2698.252197265625	3711.077392578125	3085.978515625	1910.4124755859375	1858.703125	1314.3516845703125	1726.8004150390625	1494.75341796875	647.3255004882812	2033.3759765625	2111.986328125	1406.9005126953125	1237.154541015625	1806.611083984375	977.5270385742188	1246.793212890625	2099.032470703125	2023.0552978515625	2549.885498046875	3979.486328125	499.4633483886719	2258.73974609375	2365.060302734375	1257.1732177734375	2572.8349609375	1859.1368408203125	2259.299072265625	1871.4114990234375	1993.9305419921875	1377.55517578125	1422.6217041015625	1215.6475830078125	3952.354736328125	1376.630126953125
60	120	2216.231689453125	3150.398681640625	6673.29443359375	6425.3359375	8260.3125	7120.11572265625	4301.93359375	4772.4716796875	6610.861328125	4381.48388671875	597.8504028320312	3850.746337890625	3727.263427734375	11947.970703125	2132.63818359375	3171.905517578125	6635.49658203125	6267.9912109375	8075.6474609375	7724.015625	3788.7080078125	6501.4833984375	5912.38916015625	6168.0458984375	4521.20068359375	14457.9599609375	702.9714965820312	2983.06103515625	5674.11572265625	4576.2236328125	4615.984375	1828.73486328125	11647.55859375	8750.2421875	11827.8544921875	11684.630859375	8376.7607421875	7041.478515625	9617.2119140625	7517.5556640625	9548.7763671875	11735.349609375	10797.220703125	9822.1103515625	8993.138671875	8926.6123046875	7204.29052734375	7899.37646484375	11504.5283203125	12503.2431640625	13074.3291015625	12649.96484375	11315.46484375	9651.7236328125	11255.9033203125	7782.9599609375	9807.796875	11089.8984375	10489.3818359375	10440.2666015625	9198.642578125	10051.9619140625	10734.3974609375	5543.220703125	15546.525390625	7598.79296875	9738.0908203125	11609.298828125	11025.5458984375	10438.9794921875	7011.96533203125	6681.15234375	9022.5068359375	8014.80908203125	7354.2822265625	11587.2763671875	10348.583984375	10177.3173828125	8579.833984375	8210.3095703125	5027.07373046875	7978.02685546875	11454.7119140625	10727.4345703125	12376.134765625	13412.884765625	10897.26953125	7721.771484375	11051.6533203125	10266.1328125	9588.765625	10692.7939453125	11311.6181640625	11165.248046875	10081.087890625	9804.7626953125	9521.732421875	4444.9560546875	16901.8046875	7460.35400390625
120	180	4110.70751953125	5704.05419921875	11702.1953125	11355.4990234375	15064.1259765625	13573.095703125	5642.99755859375	9141.7158203125	11283.0576171875	7712.11865234375	526.58642578125	11886.5380859375	7231.0498046875	16887.984375	4038.845703125	5346.79833984375	11428.576171875	10197.953125	13978.7138671875	14000.658203125	6724.681640625	10434.9365234375	8905.5244140625	8729.9853515625	8116.20166015625	18699.064453125	8679.69140625	2951.20263671875	9427.3447265625	8505.2626953125	6155.015625	2438.817138671875	21547.275390625	13541.259765625	17890.748046875	21741.919921875	14848.921875	12746.9609375	16487.208984375	14843.8134765625	13188.41796875	20764.03515625	19269.595703125	17818.072265625	15225.0810546875	15849.580078125	13814.6875	15042.61328125	22061.51953125	22401.396484375	20441.130859375	25443.240234375	19263.89453125	14129.25390625	20836.955078125	15581.458984375	16120.8251953125	19503.912109375	19467.390625	18967.01171875	16191.0810546875	17857.2109375	17686.779296875	9061.85546875	26726.275390625	11875.134765625	18829.04296875	14536.8232421875	19652.703125	18668.0859375	15561.3828125	13288.3984375	16239.7587890625	14134.884765625	16018.1328125	20443.349609375	18892.619140625	18767.443359375	15338.470703125	15189.341796875	9966.1572265625	14930.603515625	19834.880859375	18640.087890625	21287.091796875	27181.3203125	18063.20703125	15803.5380859375	20317.6953125	16763.5625	17488.041015625	19525.353515625	20026.046875	19491.240234375	17028.29296875	17314.12109375	17084.181640625	9791.4580078125	27589.1796875	13531.283203125
180	240	5241.35302734375	7200.62939453125	15152.1865234375	14284.7451171875	20283.67578125	17960.6171875	8049.67919921875	11287.6240234375	15464.39453125	10092.767578125	-82.25103759765625	18520.79296875	10650.412109375	36313.765625	5382.5947265625	7293.94580078125	14746.7548828125	13943.4306640625	18130.1796875	19341.556640625	6130.18701171875	14790.9013671875	13122.2333984375	9134.0	9498.42578125	29304.08203125	8429.0556640625	3939.593994140625	13287.23828125	11325.6044921875	7671.0732421875	3327.5361328125	28240.46875	21552.599609375	26178.6328125	31145.701171875	18917.236328125	17033.697265625	22416.443359375	20029.20703125	19644.2265625	27769.455078125	24972.10546875	24533.04296875	19085.78515625	21131.349609375	19286.2890625	21963.189453125	27901.25	26886.0	27351.6171875	33464.765625	27348.712890625	19390.3984375	26498.408203125	20602.716796875	21353.94140625	25852.9921875	26527.279296875	24137.0234375	21764.68359375	22487.568359375	23045.208984375	15046.677734375	33787.171875	15515.873046875	23130.771484375	21133.59375	27276.806640625	25095.78515625	19126.7265625	17193.353515625	21204.025390625	18917.35546875	18208.37890625	27018.861328125	23679.0078125	24898.087890625	21378.203125	20576.24609375	10712.6982421875	17229.38671875	25658.30078125	25227.712890625	28432.97265625	33276.87109375	23376.90234375	17397.501953125	28491.880859375	22920.376953125	20641.642578125	25434.23046875	25914.59375	25064.91796875	22702.38671875	22728.4375	23707.822265625	12342.0322265625	37068.66796875	17409.767578125
240	360	7058.6044921875	9939.7060546875	19382.1484375	19080.830078125	24956.08984375	22657.716796875	12052.400390625	15692.234375	19350.4140625	14079.228515625	381.44805908203125	20803.173828125	13097.4892578125	34777.92578125	7020.4423828125	9493.2373046875	19401.232421875	17799.240234375	24387.8125	25083.80859375	9995.15234375	18757.880859375	16246.681640625	12472.4658203125	12678.53125	35185.46875	6098.1025390625	5720.466796875	16246.52734375	14687.9814453125	9359.0009765625	3655.19580078125	35845.43359375	25373.19140625	33515.47265625	36552.64453125	23064.94921875	23076.046875	28758.07421875	26082.857421875	23236.01953125	35882.35546875	33416.86328125	31109.8125	25346.1484375	27497.6171875	20870.521484375	28874.994140625	35235.66015625	36091.0	35175.0390625	45810.47265625	33668.18359375	24467.6640625	34672.1640625	26924.078125	26395.248046875	32578.84375	32709.224609375	31877.72265625	28107.42578125	30314.3046875	30987.42578125	19109.775390625	43904.953125	20551.919921875	29680.283203125	27601.4765625	35480.0390625	35471.7109375	24910.05859375	22780.744140625	28542.037109375	25066.697265625	27180.08984375	35067.43359375	30211.47265625	32657.1796875	28028.18359375	26106.623046875	16249.6416015625	29285.25	34442.90625	31389.287109375	36745.70703125	44407.734375	31237.92578125	24629.9140625	33092.3984375	27915.9375	30116.703125	33094.67578125	32225.73828125	32204.314453125	29246.470703125	29085.912109375	28803.748046875	16891.96484375	45250.15234375	22410.5234375
360	480	9181.439453125	12716.880859375	24587.26171875	23851.671875	31628.255859375	27808.421875	16349.767578125	19076.072265625	23071.6484375	18739.453125	280.1249694824219	25882.005859375	17945.93359375	43046.33203125	9481.6171875	12797.9755859375	23709.443359375	22937.0546875	31658.33203125	31941.9765625	13352.205078125	22751.75390625	20545.806640625	18774.22265625	15780.1259765625	42493.69140625	15921.5078125	5258.630859375	19289.087890625	18600.748046875	11988.380859375	4828.400390625	45558.49609375	29912.58984375	42058.7421875	49186.9921875	29709.13671875	29413.21875	35407.6328125	32911.3046875	27678.201171875	43462.17578125	39654.57421875	38623.609375	32321.396484375	34276.49609375	29258.21875	34261.9140625	42946.2578125	43811.8359375	43387.765625	54002.453125	42073.9296875	29929.78515625	42441.8984375	31822.498046875	33082.78125	40106.71875	39359.203125	40561.35546875	34501.12890625	36805.03515625	34899.4921875	23366.982421875	52931.0859375	26841.634765625	36874.46875	34322.27734375	43836.7421875	39426.6171875	32835.8671875	28851.22265625	35101.578125	31339.962890625	31708.673828125	42754.21875	38094.54296875	39852.79296875	33941.65625	32705.20703125	23785.712890625	30389.552734375	40640.70703125	38536.59375	45059.80078125	53918.72265625	40578.41015625	29356.486328125	41927.29296875	35758.05078125	35443.44140625	39864.23046875	38977.96484375	41146.625	36033.6328125	35450.2578125	35799.19140625	23798.17578125	55701.24609375	28218.654296875
480	600	10801.6044921875	14578.23046875	27671.759765625	28293.5078125	37642.19921875	33635.4609375	17270.443359375	23533.69140625	26416.869140625	22350.548828125	-170.963134765625	28447.779296875	21454.130859375	48072.75390625	10910.7236328125	14374.0791015625	27266.619140625	27021.6015625	35515.84765625	37164.21875	14565.994140625	25520.857421875	23970.162109375	23717.39453125	19892.30859375	39918.3984375	25612.4765625	5359.921875	23386.333984375	21669.658203125	12928.08984375	5951.01806640625	51842.8828125	37451.15625	48127.5078125	52673.22265625	32248.0546875	34367.23046875	40808.11328125	37368.6328125	32380.78515625	47908.80078125	44318.90625	43081.265625	34866.6015625	39009.203125	30348.982421875	34805.3828125	48453.88671875	47228.0	47024.3125	62456.7734375	47386.91015625	33677.7890625	46434.00390625	36857.01171875	39844.0390625	46381.515625	42446.3984375	45144.640625	39356.25	42271.91796875	41369.703125	27352.255859375	56405.38671875	31064.849609375	42912.84765625	35384.1796875	44125.81640625	46315.9609375	36166.09765625	32395.115234375	39364.02734375	36327.796875	36384.46875	46723.25390625	41714.015625	43752.03515625	37972.61328125	37051.57421875	23528.900390625	37074.78125	46649.22265625	42227.83203125	48668.46875	59720.3671875	45289.171875	34211.05859375	45000.75	40636.7421875	39080.328125	44426.75390625	44482.46484375	46558.1171875	40398.09375	40119.0390625	38924.91015625	27248.478515625	62555.06640625	31413.015625
600	900	12622.4365234375	17241.041015625	31313.427734375	34131.046875	44243.69140625	39313.42578125	22876.453125	27279.58984375	31570.943359375	26919.47265625	694.2744140625	33989.64453125	24428.96875	46964.7578125	12805.9072265625	16930.9375	30695.130859375	32284.18359375	40896.87109375	44358.06640625	18940.859375	28621.6796875	30485.416015625	30579.6171875	23829.98046875	46255.57421875	19826.892578125	6282.6123046875	25014.56640625	25701.654296875	13418.9638671875	7078.44921875	56591.8984375	38648.00390625	49850.6796875	58372.671875	39332.328125	38745.9921875	45133.35546875	42803.7890625	36201.82421875	53232.0546875	50357.93359375	46306.7578125	40953.94921875	43786.9375	36042.484375	39451.42578125	52395.5859375	50964.52734375	50913.26171875	67195.2109375	52919.25	37532.125	49429.14453125	40817.45703125	44954.87109375	49919.32421875	48436.9296875	50529.83203125	43638.1328125	47630.31640625	44585.80859375	32676.517578125	60809.7578125	36913.95703125	45167.546875	43468.8671875	53382.46875	51427.90234375	41918.078125	37548.0859375	43565.73828125	41246.84765625	40385.4375	51592.07421875	46548.4453125	48778.92578125	44197.7890625	42215.1796875	30161.95703125	43069.9765625	50132.81640625	46901.265625	53008.8984375	68315.359375	47578.47265625	39306.45703125	49372.8671875	46284.234375	48165.48828125	49646.15234375	47530.13671875	49987.03125	45495.05078125	46390.203125	44527.5703125	31098.826171875	65465.05859375	38281.4296875
