frame_start	frame_end	Left-Cerebral-White-Matter	Left-Cerebellum-White-Matter	Left-Cerebellum-Cortex	Left-Thalamus	Left-Caudate	Left-Putamen	Left-Pallidum	Brain-Stem	Left-Hippocampus	Left-Amygdala	CSF	Left-Accumbens-area	Left-VentralDC	Left-choroid-plexus	Right-Cerebral-White-Matter	Right-Cerebellum-White-Matter	Right-Cerebellum-Cortex	Right-Thalamus	Right-Caudate	Right-Putamen	Right-Pallidum	Right-Hippocampus	Right-Amygdala	Right-Accumbens-area	Right-VentralDC	Right-choroid-plexus	AirCavity	Skull	Vermis	Pons	CSF-ExtraCerebral	Head-ExtraCerebral	ctx-lh-bankssts	ctx-lh-caudalanteriorcingulate	ctx-lh-caudalmiddlefrontal	ctx-lh-cuneus	ctx-lh-entorhinal	ctx-lh-fusiform	ctx-lh-inferiorparietal	ctx-lh-inferiortemporal	ctx-lh-isthmuscingulate	ctx-lh-lateraloccipital	ctx-lh-lateralorbitofrontal	ctx-lh-lingual	ctx-lh-medialorbitofrontal	ctx-lh-middletemporal	ctx-lh-parahippocampal	ctx-lh-paracentral	ctx-lh-parsopercularis	ctx-lh-parsorbitalis	ctx-lh-parstriangularis	ctx-lh-pericalcarine	ctx-lh-postcentral	ctx-lh-posteriorcingulate	ctx-lh-precentral	ctx-lh-precuneus	ctx-lh-rostralanteriorcingulate	ctx-lh-rostralmiddlefrontal	ctx-lh-superiorfrontal	ctx-lh-superiorparietal	ctx-lh-superiortemporal	ctx-lh-supramarginal	ctx-lh-frontalpole	ctx-lh-temporalpole	ctx-lh-transversetemporal	ctx-lh-insula	ctx-rh-bankssts	ctx-rh-caudalanteriorcingulate	ctx-rh-caudalmiddlefrontal	ctx-rh-cuneus	ctx-rh-entorhinal	ctx-rh-fusiform	ctx-rh-inferiorparietal	ctx-rh-inferiortemporal	ctx-rh-isthmuscingulate	ctx-rh-lateraloccipital	ctx-rh-lateralorbitofrontal	ctx-rh-lingual	ctx-rh-medialorbitofrontal	ctx-rh-middletemporal	ctx-rh-parahippocampal	ctx-rh-paracentral	ctx-rh-parsopercularis	ctx-rh-parsorbitalis	ctx-rh-parstriangularis	ctx-rh-pericalcarine	ctx-rh-postcentral	ctx-rh-posteriorcingulate	ctx-rh-precentral	ctx-rh-precuneus	ctx-rh-rostralanteriorcingulate	ctx-rh-rostralmiddlefrontal	ctx-rh-superiorfrontal	ctx-rh-superiorparietal	ctx-rh-superiortemporal	ctx-rh-supramarginal	ctx-rh-frontalpole	ctx-rh-temporalpole	ctx-rh-transversetemporal	ctx-rh-insula
0	20	7.173028945922852	5.774881362915039	16.339956283569336	-130.71815490722656	-91.69648742675781	58.59225845336914	-12.485711097717285	-5.363880634307861	-2.249518871307373	16.923851013183594	-2.9626433849334717	-142.2419891357422	-35.751625061035156	-40.38817596435547	12.442378044128418	84.98446655273438	-57.266422271728516	-43.850460052490234	-62.960201263427734	-27.341753005981445	73.97354125976562	29.322471618652344	95.53443145751953	-78.00763702392578	14.317353248596191	220.98016357421875	-276.5849304199219	87.97323608398438	181.5147705078125	-15.1497802734375	-8.057509422302246	3.49109148979187	-94.24173736572266	82.25196838378906	6.259540557861328	-29.531761169433594	40.029720306396484	-53.299983978271484	-15.55763053894043	4.948061943054199	43.700714111328125	54.78775405883789	1.0659904479980469	59.989044189453125	7.6003828048706055	-4.425758361816406	103.5843505859375	10.232752799987793	-7.952146053314209	93.75621795654297	4.595333576202393	-26.662145614624023	-30.595823287963867	29.615976333618164	-46.17015838623047	-23.783750534057617	-93.55086517333984	-16.118877410888672	17.822982788085938	-18.26751136779785	-8.36083984375	-28.13087272644043	56.86167907714844	-202.9463348388672	-174.30494689941406	26.23648452758789	-12.619540214538574	-140.4467010498047	-100.19636535644531	-61.405216217041016	180.67721557617188	8.578478813171387	6.697139263153076	20.610931396484375	8.435626029968262	-11.791242599487305	25.5654354095459	61.06482696533203	39.688812255859375	10.82797622680664	49.23514175415039	-133.28456115722656	59.397369384765625	-6.57171630859375	28.63869857788086	-124.17031860351562	27.648725509643555	100.08035278320312	-35.24144744873047	47.6544189453125	-133.91079711914062	3.9168381690979004	11.420195579528809	-32.29680633544922	27.443756103515625	-4.44243049621582	-146.2975616455078	169.3240509033203	169.76412963867188	-64.36652374267578
20	40	153.07012939453125	132.1869354248047	233.3694305419922	132.8822479248047	9.796305656433105	254.93765258789062	334.2430114746094	245.65234375	470.6224670410156	-213.429931640625	57.41935729980469	300.7013244628906	216.2899627685547	-165.14698791503906	128.0607147216797	139.08045959472656	185.9202117919922	140.5113525390625	28.135498046875	220.34085083007812	54.15106201171875	287.2057800292969	233.65098571777344	464.6127014160156	260.9677429199219	344.50115966796875	463.975341796875	605.9315795898438	-493.3110046386719	128.78294372558594	403.3660888671875	491.47943115234375	354.2259216308594	321.77447509765625	191.80169677734375	302.115234375	571.7344360351562	218.43702697753906	197.492919921875	213.00827026367188	365.4012145996094	428.1108093261719	223.91561889648438	404.1944580078125	5.744184970855713	297.2469177246094	367.3551330566406	424.9964904785156	201.3889617919922	440.7038879394531	355.66229248046875	213.66357421875	199.2105712890625	188.35264587402344	235.00863647460938	397.99932861328125	330.04705810546875	257.15289306640625	376.24774169921875	248.3572235107422	369.65484619140625	307.628173828125	52.59993362426758	551.42626953125	332.55487060546875	410.1735534667969	136.9678497314453	186.50343322753906	110.34940338134766	143.39144897460938	72.18682098388672	209.8546142578125	132.1146240234375	208.77630615234375	638.7841186523438	281.0919189453125	145.44114685058594	185.89688110351562	500.76458740234375	236.8231201171875	115.68312072753906	85.90394592285156	155.24227905273438	352.8690185546875	187.6730499267578	338.640869140625	62.86614990234375	270.2799987792969	341.7945861816406	99.7591323852539	553.2897338867188	191.63095092773438	341.56292724609375	180.69113159179688	377.4489440917969	372.0853271484375	294.9005126953125	368.0743408203125	514.5045166015625	349.5752258300781
40	60	745.6085205078125	1117.6683349609375	1379.2725830078125	1272.0277099609375	839.4893798828125	1724.54150390625	27.837512969970703	1035.896484375	1607.692626953125	306.95220947265625	722.4038696289062	1121.95361328125	1001.7130126953125	1065.441650390625	778.5880126953125	1266.3779296875	1245.4698486328125	809.6083374023438	1098.9703369140625	1365.7255859375	443.97991943359375	1043.8880615234375	1368.19384765625	617.3875732421875	1025.64990234375	1163.5870361328125	580.7234497070312	1166.9833984375	1425.28466796875	956.8455810546875	1505.005615234375	990.6306762695312	1357.188232421875	447.9988098144531	1501.700927734375	1329.765869140625	1099.0057373046875	1327.569580078125	1059.1524658203125	1123.9639892578125	1459.46435546875	1407.598388671875	983.522705078125	1325.3875732421875	1382.8377685546875	1160.127685546875	783.9784545898438	973.9745483398438	1176.32421875	1184.310791015625	1094.62548828125	1231.36279296875	1098.3798828125	1148.2225341796875	1043.6075439453125	1470.9637451171875	652.9664306640625	1289.659423828125	1176.9700927734375	1512.2451171875	1092.7183837890625	1113.8148193359375	1056.923828125	1402.105712890625	1599.0701904296875	1321.3389892578125	1742.497314453125	2149.94970703125	1344.6365966796875	1201.914794921875	1636.363525390625	1075.206298828125	905.1511840820312	1271.919189453125	1578.088134765625	1596.16796875	766.9873657226562	1691.762451171875	1403.2271728515625	1247.114013671875	844.571533203125	1358.4189453125	1139.3123779296875	1602.374267578125	1364.27294921875	1951.1591796875	1304.778076171875	2308.89453125	1104.9752197265625	1579.531005859375	1766.6988525390625	1214.554443359375	1319.857421875	1242.457275390625	1361.0435791015625	1240.5081787109375	275.5628356933594	1121.400390625	1612.98828125	1189.670654296875
60	120	1940.5521240234375	2291.114990234375	3066.3369140625	2647.4072265625	2630.478515625	2981.4658203125	1872.28271484375	2278.6181640625	2626.260498046875	1523.45361328125	1122.117431640625	2450.655029296875	1889.7620849609375	2554.770263671875	1885.546875	2430.6298828125	2991.49365234375	3084.012451171875	2435.8994140625	2791.998779296875	2280.770263671875	2586.211669921875	2032.309814453125	2350.591064453125	2229.6962890625	2274.725341796875	2216.436279296875	1574.2647705078125	2526.403076171875	2427.041015625	2853.14990234375	1759.6370849609375	3291.298583984375	2568.37353515625	2857.104736328125	3491.2890625	1691.009033203125	2961.395263671875	2617.882080078125	2834.620849609375	2827.049072265625	3069.302490234375	2436.484619140625	3313.779052734375	1995.3892822265625	2735.1953125	1925.597412109375	2947.035888671875	2775.073486328125	2811.29541015625	2864.80615234375	3823.857666015625	2808.909423828125	3207.521484375	2677.462646484375	3382.168212890625	2220.830810546875	2993.31787109375	2543.53759765625	2837.226806640625	2605.325927734375	2980.677001953125	2079.761474609375	2038.6265869140625	3682.537109375	2957.68896484375	3149.6884765625	2890.241943359375	2786.243896484375	2973.232177734375	2746.14404296875	2718.665771484375	2651.1591796875	2754.5908203125	2706.547119140625	2988.557861328125	2441.230224609375	3323.89208984375	2587.235107421875	2688.58447265625	1864.2374267578125	2985.93017578125	2873.94775390625	2772.212646484375	2851.51025390625	4011.820556640625	2589.344970703125	3051.1923828125	2860.101318359375	3433.6806640625	2894.742919921875	2836.830810546875	2774.9384765625	2751.988037109375	2655.652587890625	2832.517822265625	2466.3291015625	2045.633544921875	3765.576171875	2758.97802734375
120	180	2976.2734375	3673.961181640625	4656.4501953125	4535.7900390625	3699.646240234375	4976.8173828125	2975.09716796875	3125.72998046875	4007.211181640625	2536.382568359375	1562.35205078125	3618.057373046875	3229.903564453125	2215.57861328125	2948.814208984375	4046.56103515625	4478.01611328125	4614.21435546875	3876.734375	4568.12841796875	3811.154541015625	3901.891845703125	2894.738037109375	4128.814453125	3372.37646484375	3461.936279296875	1530.852294921875	2217.54443359375	5086.41357421875	4530.94775390625	4022.38720703125	1869.55029296875	3972.356689453125	4064.302734375	4988.5947265625	5069.736328125	2800.91650390625	3600.12646484375	4327.318359375	4329.14892578125	4183.00390625	4448.09716796875	4312.5986328125	4802.08203125	3748.835205078125	4199.373046875	3022.29443359375	4764.75341796875	4141.87548828125	4426.58740234375	4493.6318359375	5068.72021484375	4152.75830078125	4898.32763671875	4145.43359375	4798.12060546875	3417.02783203125	4608.4833984375	4158.9873046875	4318.25	3919.1396484375	4057.348876953125	4211.90185546875	2721.111328125	5271.03173828125	4123.82958984375	4362.41064453125	4138.92138671875	4608.00341796875	4468.91357421875	3877.33544921875	3701.194580078125	4327.97607421875	4376.4755859375	4370.50244140625	4321.583984375	3984.58740234375	4792.189453125	3365.5263671875	4164.9296875	3876.266845703125	4530.126953125	4893.8505859375	4422.32275390625	4565.4609375	5996.63037109375	4335.701171875	5388.54833984375	4174.337890625	4713.02099609375	3476.563720703125	4468.09130859375	4496.12939453125	4682.140625	3931.44091796875	4273.0068359375	3835.613037109375	2683.896484375	5418.33984375	3967.772216796875
180	240	3850.299072265625	5059.736328125	5943.81005859375	5879.33251953125	4837.04443359375	6139.71484375	4671.734375	4593.3984375	4922.10986328125	4568.84814453125	2103.816650390625	6193.630859375	4439.6279296875	3825.494873046875	3870.48095703125	4725.0517578125	5756.40380859375	5768.3671875	4908.8623046875	6570.8330078125	4500.90234375	4827.88525390625	4291.74658203125	3753.667724609375	4471.732421875	5072.8125	2247.33447265625	2297.290771484375	5764.0908203125	5349.20654296875	5087.94873046875	1709.058349609375	5681.5595703125	4617.521484375	5901.04638671875	6638.42431640625	4967.23388671875	5302.251953125	5767.220703125	5671.1865234375	5584.30859375	5620.31103515625	5384.39697265625	6389.90380859375	5100.59326171875	5517.509765625	4199.189453125	6158.4755859375	5536.498046875	5138.81298828125	6266.65771484375	6807.58837890625	5609.9375	7156.4384765625	5774.251953125	6529.43115234375	5278.80029296875	5996.81884765625	5529.4697265625	5413.3173828125	4984.99267578125	5680.1552734375	6309.78369140625	4130.365234375	7487.25341796875	5294.25634765625	6560.8369140625	5340.47900390625	6118.02197265625	5900.40185546875	5601.90087890625	5033.5146484375	5501.666015625	5458.62890625	6062.13427734375	5672.80224609375	5685.3505859375	5976.12744140625	5153.24658203125	5602.25927734375	4648.64599609375	5462.57275390625	6246.81494140625	5672.1396484375	5725.2724609375	6842.47314453125	5311.57958984375	6108.97998046875	6042.89599609375	6343.81591796875	5390.36572265625	5831.05810546875	5650.09130859375	5735.6806640625	4968.197265625	5778.30029296875	4120.5556640625	3961.459228515625	7976.599609375	4863.94970703125
240	360	5438.06298828125	7189.9189453125	8210.2900390625	8426.880859375	7555.43212890625	8899.78515625	5759.07177734375	6465.73486328125	6811.15087890625	5132.5	3231.8271484375	8552.9892578125	6147.71142578125	5402.70361328125	5453.05419921875	7416.0908203125	8108.56982421875	8311.1484375	7299.41455078125	8935.4306640625	6413.6044921875	6889.50244140625	5931.95654296875	6827.82177734375	6231.2548828125	6763.48193359375	4093.92529296875	2750.12158203125	8473.353515625	7750.47998046875	7012.15087890625	2156.882568359375	7955.3955078125	7440.08349609375	8600.5810546875	8360.353515625	6285.83740234375	7624.0986328125	7785.90625	7716.99609375	7116.78173828125	7787.9921875	7507.4814453125	8438.259765625	7130.80322265625	7748.212890625	6469.98291015625	7771.5537109375	7839.197265625	7754.40625	8546.8798828125	9324.59375	7800.68505859375	9503.1416015625	7923.591796875	9257.134765625	7039.2001953125	8543.833984375	7800.77587890625	7671.26611328125	6931.28955078125	7594.884765625	7661.5703125	5726.72802734375	10324.91015625	7308.72900390625	8081.17724609375	6962.05029296875	8728.8212890625	7825.8232421875	6893.7470703125	7213.236328125	7724.17041015625	7751.23974609375	8063.48779296875	7741.7392578125	7288.0986328125	8185.8876953125	7275.08203125	7677.99169921875	6080.37841796875	7543.04345703125	8353.9892578125	7262.02197265625	8230.9599609375	9743.5849609375	7664.29931640625	8817.8779296875	8207.380859375	8390.5986328125	6664.470703125	8113.02685546875	8109.58251953125	7561.6259765625	7337.19775390625	7889.142578125	7084.72705078125	6450.90380859375	10762.5966796875	6713.8427734375
360	480	7362.87109375	10211.431640625	11123.349609375	11327.3330078125	10440.421875	11654.7041015625	8590.6220703125	8854.7275390625	9144.236328125	7391.47998046875	4500.74365234375	10128.173828125	8406.3994140625	7581.03466796875	7354.11865234375	9686.44921875	10874.7900390625	11679.8134765625	10050.5341796875	12877.9921875	8221.916015625	9418.478515625	8156.44873046875	9261.935546875	7945.80810546875	8923.2099609375	5505.33349609375	3637.8935546875	10074.4873046875	10887.9482421875	9394.9072265625	2788.031494140625	10500.162109375	9457.87890625	11480.6630859375	11497.892578125	9020.8857421875	10339.8828125	10325.4599609375	10532.5263671875	10698.111328125	10516.6162109375	10027.0625	11493.50390625	9979.1044921875	10071.0419921875	8673.1220703125	10941.8564453125	10722.7197265625	10406.083984375	11175.62890625	12799.7421875	10452.0556640625	12896.2548828125	10563.9453125	12278.6240234375	9660.9541015625	11462.8818359375	10359.2783203125	9888.380859375	9419.435546875	10560.4619140625	10094.0966796875	7648.9267578125	13416.6181640625	9772.341796875	11563.9931640625	9193.6171875	11507.6572265625	10656.9482421875	8541.703125	9660.0576171875	10306.1416015625	10449.4091796875	10998.6064453125	10154.3759765625	9688.4296875	11151.208984375	10092.7646484375	10692.33203125	8723.0341796875	10138.7236328125	11253.0341796875	9694.32421875	10813.7724609375	12701.1494140625	10492.955078125	12468.5576171875	10999.73828125	11734.3935546875	10042.7138671875	11190.7978515625	10883.6279296875	10470.80078125	9620.9296875	10605.7255859375	9650.0390625	7193.328125	13746.9140625	9435.5947265625
480	600	9207.83984375	12116.9873046875	13951.37109375	14735.8828125	12992.140625	15453.3232421875	11041.470703125	11078.98046875	11844.5126953125	9333.337890625	5473.666015625	13617.740234375	10584.5732421875	9592.8486328125	9291.09375	12389.861328125	13834.39453125	14529.91015625	12873.267578125	15463.7255859375	10917.3466796875	11600.2724609375	10358.2998046875	9762.3525390625	10723.1748046875	10462.318359375	6247.1259765625	4409.25146484375	12352.197265625	13807.6123046875	11563.8525390625	3219.564208984375	13202.37109375	12187.84375	13849.6494140625	13822.39453125	10282.796875	13072.7705078125	13187.5595703125	13176.6396484375	12578.0478515625	13341.921875	12648.15234375	14511.8857421875	12571.412109375	12973.353515625	10081.66015625	13220.515625	13251.2666015625	12700.2978515625	14391.861328125	16175.1552734375	12799.3701171875	15656.7763671875	13197.484375	15435.5439453125	11515.3564453125	14284.763671875	13357.90625	12718.02734375	11893.0126953125	13113.5126953125	13565.646484375	9508.962890625	16053.890625	12469.84375	13681.4189453125	11335.09375	14533.8828125	12534.765625	11935.1904296875	12733.0048828125	12944.71484375	12994.83984375	13197.677734375	13083.609375	12161.056640625	14435.4775390625	12763.982421875	13078.947265625	10640.654296875	12695.1640625	14038.3974609375	11919.8974609375	13457.302734375	15882.9267578125	13191.58984375	15118.595703125	13619.728515625	14310.5859375	11149.7392578125	13923.4697265625	13418.5654296875	13043.087890625	12296.283203125	13204.716796875	13623.345703125	9526.24609375	16462.099609375	12077.6640625
600	900	12111.8408203125	15906.2919921875	17698.171875	19624.62109375	17507.564453125	19999.80859375	14606.4306640625	14590.3681640625	14437.5380859375	12851.478515625	7035.0703125	18153.453125	13750.9091796875	11237.8779296875	12171.427734375	15800.455078125	17583.1484375	18998.349609375	16973.068359375	21038.111328125	14769.841796875	15193.666015625	13357.1240234375	16372.5615234375	14055.14453125	12390.935546875	7701.650390625	5437.15087890625	16259.478515625	17625.98828125	14824.6435546875	4143.23095703125	17129.193359375	15881.4892578125	17438.662109375	18018.58203125	14072.083984375	16901.68359375	16803.93359375	17288.390625	16704.294921875	17064.25	16217.7529296875	18634.603515625	15947.9248046875	16733.939453125	13630.73046875	17201.271484375	17314.943359375	16045.6767578125	18456.720703125	20307.681640625	16460.869140625	20609.138671875	16835.908203125	19468.974609375	16380.939453125	18190.474609375	16811.25390625	16266.2763671875	15324.560546875	16672.828125	17153.298828125	12373.0068359375	20262.9921875	16336.0830078125	17537.146484375	14833.736328125	18489.802734375	16666.15234375	14381.2490234375	15987.537109375	16472.9453125	16972.6328125	17550.119140625	16975.30078125	15783.037109375	18397.189453125	15823.126953125	16862.900390625	13928.0859375	16932.919921875	17967.396484375	14426.58203125	17063.484375	20024.4921875	16584.5703125	19898.033203125	17237.42578125	18307.439453125	14896.55859375	17778.962890625	17390.994140625	16603.19140625	15959.69140625	16950.109375	16523.359375	13259.9560546875	21115.185546875	15514.392578125
